layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
1,12.077454139616599,7.407748182720653,9.326681070044422,12.126738863909052,4.669705956895946,2.750773069572176,-0.049284724292453674,1.9682176116162236,13624,15556,15556,13624,-1932,-1932,0,16.941730499267578,11.453639030456543
2,12.158364409610913,7.416310167011207,9.270563131067888,12.294764537940809,4.742054242599706,2.8878012785430247,-0.13640012832989612,1.9906530923865775,22240,14408,14408,22240,7832,7832,0,16.876014709472656,11.263833999633789
3,12.018999300380141,7.253274741576885,9.242593936523372,12.079277155715744,4.765724558803257,2.776405363856769,-0.06027785533560248,2.04959705028209,10794,13632,13632,10794,-2838,-2838,0,16.893674850463867,10.768664360046387
4,12.146966775372933,7.362681848888562,9.40916050974521,12.275985408327797,4.7842849264843705,2.7378062656277233,-0.12901863295486393,2.175497293811511,4798,10788,10788,4798,-5990,-5990,0,16.898880004882812,11.223163604736328
5,12.155067846159174,7.114243966619391,9.268381703124344,12.313229971198647,5.040823879539783,2.8866861430348294,-0.1581621250394729,2.3122998615444263,20584,14344,14344,20584,6240,6240,0,16.872175216674805,10.767618179321289
6,12.14802894022466,7.267618094658843,9.42064413530862,12.303241218836535,4.880410845565818,2.7273848049160403,-0.1552122786118737,2.308238319261651,24949,15473,15473,24949,9476,9476,0,16.87965965270996,10.987452507019043
7,12.053671002794083,6.834070469751806,9.155343010157049,12.148192667708281,5.219600533042277,2.898327992637034,-0.09452166491419867,2.4157942053194414,23012,15529,15529,23012,7483,7483,0,16.880598068237305,10.320327758789062
8,12.19742648513608,7.339563940959584,9.420891790325863,12.3965796431128,4.857862544176497,2.776534694810218,-0.19915315797671873,2.2804810073429973,34493,16496,16496,34493,17997,17997,0,16.861637115478516,11.303898811340332
9,12.131392026510795,7.062828033317445,9.25891646595146,12.292221946430454,5.06856399319335,2.8724755605593355,-0.16082991991965834,2.3569183525536728,32200,16758,16758,32200,15442,15442,0,16.866527557373047,10.62958812713623
10,11.974259045654087,6.511337458171107,8.967402433085981,12.053233478930288,5.462921587482979,3.0068566125681055,-0.07897443327620124,2.535039408191075,14127,14104,14104,14127,23,23,0,16.849220275878906,9.536529541015625
11,11.903363669384815,6.726978936851346,9.010085087377114,11.935974331710817,5.176384732533469,2.893278582007701,-0.03261066232600207,2.31571681285177,19149,16192,16192,19149,2957,2957,0,16.85350799560547,9.57761287689209
12,11.926157561999569,6.25998618979632,8.836400496201366,11.948227751619491,5.666171372203249,3.089757065798203,-0.022070189619922687,2.5984844960249687,11953,14202,14202,11953,-2249,-2249,0,16.875749588012695,9.164534568786621
13,12.087118188733882,6.5408207879738205,9.00648858618227,12.253739108473392,5.546297400760062,3.0806296025516122,-0.16662091973950943,2.632288717947959,23986,15411,15411,23986,8575,8575,0,16.8405704498291,9.323078155517578
14,12.044959049631975,6.853934465926461,9.187335222870548,12.207236375541294,5.191024583705515,2.8576238267614276,-0.16227732590931865,2.4956780828534058,22101,15052,15052,22101,7049,7049,0,16.832693099975586,10.033146858215332
15,11.904081868934819,6.609216912360753,9.14965657578892,11.956110060473835,5.294864956574066,2.754425293145898,-0.05202819153901572,2.5924678549671833,9730,12853,12853,9730,-3123,-3123,0,16.844934463500977,10.071840286254883
16,12.039294629043159,7.083968828692105,9.412529993840913,12.188486139013628,4.955325800351054,2.626764635202246,-0.14919150997046948,2.4777526751192775,29503,16446,16446,29503,13057,13057,0,16.84575080871582,10.8759183883667
17,11.880162521852819,6.856806576195869,9.390098640654179,11.919674503992644,5.02335594565695,2.4900638811986404,-0.03951198213982465,2.572804046598134,16460,14442,14442,16460,2018,2018,0,16.844655990600586,10.611885070800781
18,11.943391599477229,7.1858162666024565,9.497578166414986,12.041112141697477,4.757575332874772,2.445813433062243,-0.09772054222024806,2.409482442032777,3969,8761,8761,3969,-4792,-4792,0,16.836383819580078,11.395444869995117
19,11.802255756873175,6.814945998975862,9.380857668858019,11.786415466798106,4.987309757897313,2.421398088015156,0.015840290075068708,2.550071379807088,542,6000,6000,542,-5458,-5458,0,16.835819244384766,11.008463859558105
