fact_key,fact_index,prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
Germany→Berlin,0,pos,orig,0,0,<|begin_of_text|>,16.96418571472168,16.96418571472168,ouv,1.2212891306262463e-05,ünüz,1.165511548606446e-05, Mand,1.1369131243554875e-05,bestos,1.1197840649401769e-05,гл,1.0973261851177085e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999425917594635
Germany→Berlin,0,pos,orig,0,1,Give,16.957185745239258,16.957185745239258,"
",1.3653496353072114e-05,ILLISECONDS,1.3590795788331889e-05,́,1.3294721611600835e-05,fully,1.3154396583558992e-05,bare,1.2932226127304602e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999333743635361
Germany→Berlin,0,pos,orig,0,2, the,16.9552001953125,16.9552001953125,.AutoComplete,1.430139036528999e-05,.opensource,1.4177269804349635e-05, Feinstein,1.3958803720015567e-05,ioso,1.3824799680151045e-05, kontakte,1.3773111277259886e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999299646251529
Germany→Berlin,0,pos,orig,0,3, city,16.959531784057617,16.959531784057617,istle,1.3051029782218393e-05,us,1.3037052667641547e-05,emics,1.2585605873027816e-05, Richt,1.2497617717599496e-05,://,1.2488476386351977e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999363402175732
Germany→Berlin,0,pos,orig,0,4, name,16.957326889038086,16.957326889038086,emics,1.4273286069510505e-05,obbies,1.4010010090714786e-05,offer,1.3953123016108293e-05,anz,1.3567540008807555e-05, Dyn,1.345192504231818e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999307441157725
Germany→Berlin,0,pos,orig,0,5, only,16.955793380737305,16.955793380737305,ots,1.4334766092360951e-05,igator,1.3916389434598386e-05,ーリ,1.3860525541531388e-05,undo,1.3806864444632083e-05, Abs,1.3679891708306968e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999304015627786
Germany→Berlin,0,pos,orig,0,6,",",16.950942993164062,16.950942993164062,ExecutionContext,1.717289887892548e-05,athers,1.6431169569841586e-05,".)



",1.577262628416065e-05,ñana,1.557131326990202e-05, Awakening,1.5512459867750295e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999195395321294
Germany→Berlin,0,pos,orig,0,7, plain,16.957597732543945,16.957597732543945,.googleapis,1.493315812695073e-05,antage,1.4769379959034268e-05,OUSE,1.3905816558690276e-05,ioned,1.3590889466286171e-05,(Source,1.3191724065109156e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999296090318239
Germany→Berlin,0,pos,orig,0,8, text,16.958959579467773,16.958959579467773,abb,1.3862390005670022e-05,とも,1.3398418559518177e-05,kov,1.269416134164203e-05,ForRow,1.2613476428668946e-05,ovice,1.2597522072610445e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999348340315919
Germany→Berlin,0,pos,orig,0,9,.,16.952035903930664,16.952035903930664," ******************************************************************************
",1.788880217645783e-05,ayd,1.655611049500294e-05,ayet,1.602848533366341e-05,iedo,1.5704452380305156e-05,aliz,1.5396009985124692e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999184261396294
Germany→Berlin,0,pos,orig,0,10, The,16.960006713867188,16.960006713867188,ONSE,1.3850524737790693e-05,uteč,1.3005884284211788e-05,uars,1.2820411029679235e-05,ffa,1.2689535651588812e-05,zure,1.2560952200146858e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999350726920966
Germany→Berlin,0,pos,orig,0,11, capital,16.957813262939453,16.957813262939453, Burnett,1.391650403093081e-05, inch,1.3556594240071718e-05, Kelley,1.3487192518368829e-05,minster,1.3191716789151542e-05, Sche,1.315333884122083e-05, Dalton,1.3118383321852889e-05,773,1.3069206033833325e-05,olver,1.3016689990763552e-05, Crowley,1.2975404388271272e-05,ongo,1.291518856305629e-05, trends,1.2688106835412327e-05, compact,1.2623673683265224e-05, ste,1.2601208254636731e-05, crow,1.2521844837465324e-05,筆,1.2466764019336551e-05,"…


",1.2450846952560823e-05,thesis,1.2387895367282908e-05, bachelor,1.2369969226710964e-05, invisible,1.2360760592855513e-05,istic,1.2356647857814096e-05,0.9997427720636551
Germany→Berlin,0,pos,orig,0,12, of,16.955524444580078,16.955524444580078,rench,1.5950814486132003e-05, Zub,1.4852011190669145e-05,NotAllowed,1.469345352234086e-05,kers,1.4055302926863078e-05,opis,1.3851760741090402e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999265966571329
Germany→Berlin,0,pos,orig,0,13, Germany,16.958480834960938,16.958480834960938,chy,1.3625050996779464e-05,pard,1.3624517123389523e-05,eny,1.3281903193274047e-05,weit,1.3115718502376694e-05,iner,1.2961212632944807e-05,iani,1.2930743650940713e-05,.scalablytyped,1.2886331205663737e-05, Settlement,1.2792385859938804e-05,archives,1.2746195352519862e-05,企,1.2732599316223059e-05,ovah,1.2712401257886086e-05,шев,1.2653457815758884e-05,PK,1.2624849659914616e-05,вич,1.2530436833912972e-05,aux,1.2464503925002646e-05,ationToken,1.2447168955986854e-05,lon,1.2425594832166098e-05,ZN,1.2419031008903403e-05,anske,1.2382138265820686e-05,aq,1.2373730896797497e-05,0.9997442700287138
Germany→Berlin,0,pos,orig,0,14, is,16.95830726623535,16.95830726623535,alborg,1.4332929822558071e-05,��,1.4305425793281756e-05,ffa,1.4217768693924882e-05, Estates,1.3967794984637294e-05,.opensource,1.2980559404240921e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999301955213014
Germany→Berlin,0,pos,orig,0,15, called,16.957271575927734,16.957271575927734,izi,1.4630236364610028e-05,owi,1.4036958418728318e-05,ugu,1.3741358088736888e-05,ots,1.356418215436861e-05,ษ,1.3306987057148945e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999307202779164
Germany→Berlin,0,pos,orig,0,16, simply,16.956819534301758,16.956819534301758,itzer,1.4627717064286117e-05,ikers,1.344251631962834e-05,itchens,1.3402045624388848e-05,�,1.3254774785309564e-05, Hem,1.3105850484862458e-05,iculty,1.3029270121478476e-05,ude,1.2855393833888229e-05,leyen,1.2799700925825164e-05,762,1.2783235433744267e-05,ots,1.2775251889252104e-05, ped,1.2758728189510293e-05,abler,1.2715971024590544e-05,youtu,1.2693994904111605e-05, Bernstein,1.267150310013676e-05,anza,1.2657838851737324e-05,zung,1.2583038369484711e-05, Lola,1.2545114259410184e-05,زاده,1.2513346518971957e-05,ь,1.2505041922850069e-05,jer,1.2452777809812687e-05,0.9997418268885667
Germany→Berlin,0,pos,orig,1,0,<|begin_of_text|>,16.966049194335938,16.966049194335938,erson,1.0467529136803932e-05,aco,1.0325205948902294e-05,ins,1.0316014595446177e-05,uí,1.023448658088455e-05,ichte,1.0048456715594511e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999486083070224
Germany→Berlin,0,pos,orig,1,1,Give,16.94215202331543,16.94215202331543,tin,1.8311879102839157e-05,corner,1.8300434021512046e-05, gezocht,1.7970334738492966e-05,ační,1.7889937225845642e-05,řeba,1.7455568013247102e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999100718468981
Germany→Berlin,0,pos,orig,1,2, the,16.942607879638672,16.942607879638672,РИ,1.9261986381025054e-05,OVE,1.8238803022541106e-05,'gc,1.754878758220002e-05,osoph,1.7367172404192388e-05,ména,1.7322003259323537e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999102612473507
Germany→Berlin,0,pos,orig,1,3, city,16.943614959716797,16.943614959716797,scape,2.0003310055471957e-05,-wide,1.9036349840462208e-05,ffd,1.8030867067864165e-05,-states,1.701762266748119e-05,paced,1.6756337572587654e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999091555127961
Germany→Berlin,0,pos,orig,1,4, name,16.939208984375,16.939208984375,'gc,2.3954091375344433e-05,plates,2.162204691558145e-05, ​​,1.9905312001355924e-05,リーズ,1.9453469576546922e-05, PartialView,1.9246119336457923e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998958189607947
Germany→Berlin,0,pos,orig,1,5, only,16.940343856811523,16.940343856811523,paralleled,1.9674904251587577e-05,ivec,1.8540860764915124e-05,izia,1.8464988897903822e-05,naments,1.8441804058966227e-05,"""].(",1.8410368284094147e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999064670737425
Germany→Berlin,0,pos,orig,1,6,",",16.947093963623047,16.947093963623047,.EventArgs,1.8796206859406084e-05,�,1.841288394643925e-05,mrt,1.609990795259364e-05,KeyType,1.5766419892315753e-05,ahlen,1.57429494720418e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999151816318772
Germany→Berlin,0,pos,orig,1,7, plain,16.94351577758789,16.94351577758789,ings,1.9456327208899893e-05,IMS,1.7956263036467135e-05,/full,1.7746619050740264e-05,UTH,1.765925480867736e-05,m,1.765025081112981e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999095312850841
Germany→Berlin,0,pos,orig,1,8, text,16.940786361694336,16.940786361694336,ា,1.8371405531070195e-05,OS,1.836319461290259e-05,/plain,1.818767486838624e-05,IMS,1.809206514735706e-05, btnCancel,1.7892873074742965e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999090927867655
Germany→Berlin,0,pos,orig,1,9,.,16.94626808166504,16.94626808166504,'gc,2.177403075620532e-05,toupper,1.7976444723899476e-05, заст,1.7522426787763834e-05,emax,1.7408634448656812e-05,ernet,1.73417338373838e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999079767294461
Germany→Berlin,0,pos,orig,1,10, The,16.932538986206055,16.932538986206055,/Page,2.279371074109804e-05,oretical,2.2511570932692848e-05,ANGER,2.193787986470852e-05, Dün,2.1169058527448215e-05, HOLDER,2.1063737221993506e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998905240427121
