layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
1,10.220260272230163,5.830317805562144,8.188614771045131,10.364405811224318,4.389942466668019,2.0316455011850323,-0.14414553899415417,2.5024425044771412,21847,8499,8499,21847,13348,13348,0,14.92905044555664,10.969782829284668
2,10.506400879152084,6.667394515564021,8.444507757263905,11.040779868468174,3.839006363588063,2.061893121888179,-0.5343789893160906,2.3114922310159747,27602,14019,14019,27602,13583,13583,0,14.825360298156738,12.087456703186035
3,10.383834347326987,6.442389613440207,8.411030302377554,10.745926620453544,3.9414447338867795,1.9728040449494326,-0.36209227312655656,2.3307329620639035,25435,11115,11115,25435,14320,14320,0,14.877056121826172,12.153176307678223
4,10.332932986116424,6.423330496071592,8.359958334377334,10.676310795106692,3.909602490044832,1.97297465173909,-0.3433778089902688,2.2800056472960106,25144,11697,11697,25144,13447,13447,0,14.853814125061035,12.011381149291992
5,10.228533325667268,6.098134692930538,8.23433257515869,10.501525514965424,4.13039863273673,1.9942007505085773,-0.27299218929815616,2.409190071526309,22231,10919,10919,22231,11312,11312,0,14.826519966125488,11.358776092529297
6,10.17477292486876,6.111164786490507,8.246319077993224,10.38104822838301,4.063608138378253,1.9284538468755361,-0.20627530351424994,2.341429595016967,19005,9275,9275,19005,9730,9730,0,14.837770462036133,11.440058708190918
7,10.278343628940757,6.588620958024026,8.397003397373183,10.612502479914177,3.689722670916731,1.8813402315675738,-0.33415885097342013,2.142541290322577,16499,8529,8529,16499,7970,7970,0,14.804936408996582,12.033367156982422
8,10.252341227991508,6.218887151754333,8.330334666731517,10.529723102470287,4.033454076237175,1.922006561259991,-0.27738187447877927,2.388829389455963,14140,7393,7393,14140,6747,6747,0,14.821020126342773,11.441202163696289
9,10.278923554439467,6.149974391484209,8.302682608195191,10.650474873363478,4.128949162955259,1.9762409462442765,-0.37155131892401094,2.524259535634993,16025,8616,8616,16025,7409,7409,0,14.775529861450195,11.02149486541748
10,10.31089444130426,6.136753741147083,8.313904132198688,10.672741811135989,4.174140700157177,1.9969903091055716,-0.3618473698317288,2.5389977608833343,20768,11000,11000,20768,9768,9768,0,14.781630516052246,11.197073936462402
11,10.157370344393254,5.795253982704235,8.04926961180186,10.469316604111837,4.362116361689019,2.108100732591394,-0.31194625971858336,2.565961888816208,23326,13190,13190,23326,10136,10136,0,14.736263275146484,9.907378196716309
12,10.191550864356332,6.576642710356733,7.979961979365355,10.890802741748564,3.6149081539995986,2.2115888849909764,-0.699251877392232,2.1025711464008543,27763,18120,18120,27763,9643,9643,0,14.641841888427734,9.12374496459961
13,10.14897759103115,6.148753314663083,8.046812323686332,10.580920961770937,4.000224276368066,2.1021652673448177,-0.4319433707397877,2.3300023797630365,28548,18264,18264,28548,10284,10284,0,14.726056098937988,9.841468811035156
14,10.270070575503652,7.256133781164828,8.084705605116238,11.285031005084742,3.013936794338824,2.1853649703874147,-1.0149604295810892,1.8435322535324987,30235,21870,21870,30235,8365,8365,0,14.653108596801758,9.167980194091797
15,10.274505664104103,8.572855657880405,8.036998305697496,13.021373351640486,1.7016500062236979,2.2375073584066065,-2.7468676875363833,2.2110103353534747,22576,13541,13541,22576,9035,9035,0,14.44965934753418,7.4851789474487305
16,10.327583637743986,6.581683865818825,8.120526839568546,11.127280262546133,3.7458997719251617,2.20705679817544,-0.7996966248021469,2.3385395985518684,16648,9202,9202,16648,7446,7446,0,14.599835395812988,9.625497817993164
