fact_key,fact_index,prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
Germany→Berlin,0,pos,orig,1,0,<s>,11.036517143249512,11.036517143249512,",",0.036082059144973755,and,0.03104034624993801,.,0.029592365026474,the,0.026681991294026375,"
",0.026510542258620262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8500926960259676
Germany→Berlin,0,pos,orig,1,1,Give,11.618023872375488,11.618023872375488,",",0.044193536043167114,.,0.029494784772396088,the,0.023396234959363937,and,0.023264627903699875,"
",0.018908191472291946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.860742624849081
Germany→Berlin,0,pos,orig,1,2,the,11.63126277923584,11.63126277923584,",",0.03322695568203926,"
",0.027924494817852974,.,0.02688582055270672,,0.021020840853452682,in,0.014113182201981544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8768287058919668
Germany→Berlin,0,pos,orig,1,3,city,11.466019630432129,11.466019630432129,",",0.041188862174749374,and,0.03548410162329674,.,0.027588095515966415,in,0.020731771364808083,of,0.02070561982691288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8543015494942665
Germany→Berlin,0,pos,orig,1,4,name,10.535000801086426,10.535000801086426,",",0.06254176050424576,and,0.04586085304617882,.,0.0448385588824749,the,0.023543965071439743,to,0.022852730005979538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8003621324896812
Germany→Berlin,0,pos,orig,1,5,only,10.30825424194336,10.30825424194336,",",0.07373291254043579,.,0.052077148109674454,and,0.03679881989955902,in,0.025256896391510963,to,0.02232527546584606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7898089475929737
Germany→Berlin,0,pos,orig,1,6,",",10.937141418457031,10.937141418457031,the,0.04438946768641472,",",0.04211559146642685,.,0.02428448386490345,and,0.024025972932577133,a,0.020869368687272072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8443151153624058
Germany→Berlin,0,pos,orig,1,7,plain,11.486773490905762,11.486773490905762,",",0.045167069882154465,and,0.03338285908102989,.,0.026670387014746666,to,0.01873510703444481,of,0.017718946561217308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8583256304264069
Germany→Berlin,0,pos,orig,1,8,text,10.816109657287598,10.816109657287598,and,0.049882594496011734,",",0.04538601636886597,.,0.039130207151174545,in,0.026116715744137764,to,0.020690662786364555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8187938034534454
Germany→Berlin,0,pos,orig,1,9,.,11.038979530334473,11.038979530334473,the,0.042109642177820206,",",0.03925119712948799,and,0.024319591000676155,.,0.022778481245040894,"
",0.022667767480015755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.848873320966959
Germany→Berlin,0,pos,orig,1,10,The,12.137198448181152,12.137198448181152,",",0.027660781517624855,"
",0.023667778819799423,.,0.021420693024992943,the,0.015048102475702763,in,0.013483140617609024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.898719503544271
Germany→Berlin,0,pos,orig,1,11,capital,11.431568145751953,11.431568145751953,and,0.046204060316085815,",",0.04059901461005211,.,0.029884491115808487,"
",0.020722128450870514,of,0.018762025982141495,to,0.016622329130768776,in,0.015397123992443085,the,0.015186658129096031,-,0.014613009989261627,for,0.009691872633993626,a,0.00757996179163456,,0.007160621229559183,is,0.006151705514639616,or,0.005775956436991692,on,0.004901623819023371,as,0.004651638679206371,s,0.004213637672364712,/,0.004044244531542063,:,0.00403631990775466,with,0.0039230333641171455,0.7198785427026451
Germany→Berlin,0,pos,orig,1,12,of,10.82126235961914,10.82126235961914,",",0.05100117623806,the,0.045236386358737946,.,0.030319832265377045,and,0.026533210650086403,,0.022603582590818405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8243058118969202
Germany→Berlin,0,pos,orig,1,13,Germany,12.134069442749023,12.134069442749023,",",0.03302021697163582,and,0.027996353805065155,.,0.025193259119987488,"
",0.020489651709794998,in,0.01679828390479088,the,0.013496307656168938,of,0.011846530251204967,to,0.010126287117600441,-,0.008491015993058681,for,0.005672003608196974,a,0.005489891394972801,is,0.005473328288644552,on,0.005165392998605967,as,0.005013691261410713,or,0.004950280766934156,,0.004342514555901289,with,0.0038075700867921114,/,0.0035468784626573324,at,0.003302789991721511,:,0.0031680050306022167,0.782609747024253
Germany→Berlin,0,pos,orig,1,14,is,10.730270385742188,10.730270385742188,",",0.06466162949800491,the,0.04049175605177879,.,0.03685737028717995,and,0.02538112737238407,"
",0.024201618507504463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8084064982831478
Germany→Berlin,0,pos,orig,1,15,called,10.599993705749512,10.599993705749512,",",0.05794934555888176,.,0.04254801198840141,to,0.02850736305117607,the,0.02847394347190857,"
",0.025924954563379288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8165963813662529
Germany→Berlin,0,pos,orig,1,16,simply,10.969782829284668,10.969782829284668,",",0.053795695304870605,.,0.04353254288434982,and,0.03386272117495537,the,0.019491685554385185,of,0.017837610095739365,to,0.017666630446910858,"
",0.01755935698747635,,0.016403278335928917,in,0.01599246636033058,a,0.01481661293655634,-,0.01258980855345726,for,0.010160759091377258,as,0.007601084653288126,is,0.007084571290761232,or,0.00457693450152874,on,0.004121694248169661,with,0.003987808711826801,an,0.0039344606921076775,:,0.00366722559556365,at,0.0036580406595021486,0.687659011920914
