pos_frac,pos_index,layer,kl_bits_baseline,kl_bits_tuned,delta_kl_bits_tuned,answer_rank_baseline,answer_rank_tuned,rank_shift_tuned,entropy_bits_baseline,entropy_bits_tuned
0.2,3,1,8.79756199812232,2.9991046665631145,5.798457331559206,,,,16.96831703186035,11.371556282043457
0.4,6,1,9.641154786800087,6.078513536258901,3.5626412505411853,,,,16.869726181030273,15.343423843383789
0.6,10,1,8.615027867663777,5.755911919423462,2.859115948240315,,,,16.893299102783203,14.781265258789062
0.8,13,1,10.96300105858077,5.929649481255675,5.033351577325096,,,,16.953285217285156,12.472497940063477
0.92,15,1,9.947237126054851,5.953803412673452,3.9934337133813997,,,,16.967798233032227,11.910277366638184
0.98,16,1,10.599740679289553,6.145724356216087,4.454016323073466,106575,14403,92172,16.974504470825195,10.56108283996582
0.2,3,2,9.000126603961553,3.392075048790882,5.60805155517067,,,,16.932994842529297,12.096292495727539
0.4,6,2,9.72307562685087,6.0654607409890176,3.657614885861852,,,,16.836013793945312,15.132115364074707
0.6,10,2,8.80332066520381,6.005407151030139,2.797913514173671,,,,16.83131980895996,15.11955738067627
0.8,13,2,11.091692924498997,5.901151268077104,5.1905416564218925,,,,16.91743278503418,12.533024787902832
0.92,15,2,10.08519679306277,6.236669469922944,3.8485273231398267,,,,16.935943603515625,12.51309585571289
0.98,16,2,10.73081278509572,6.4289034218901495,4.301909363205571,98935,12758,86177,16.9440975189209,11.242220878601074
0.2,3,3,9.590124782566678,3.9607071347487155,5.629417647817962,,,,16.73042869567871,12.160807609558105
0.4,6,3,10.502181112830513,7.97046096980109,2.531720143029423,,,,16.434106826782227,15.452256202697754
0.6,10,3,10.14052429977594,9.464696459431224,0.6758278403447164,,,,16.129039764404297,15.303175926208496
0.8,13,3,11.803115670127488,7.314703504812063,4.488412165315425,,,,16.59939193725586,13.651498794555664
0.92,15,3,10.403992089869314,6.467353927108849,3.936638162760465,,,,16.77956771850586,10.491288185119629
0.98,16,3,10.991438733866238,6.254146346903623,4.737292386962615,108087,23042,85045,16.81198501586914,9.697065353393555
0.2,3,4,9.407993779441755,3.832361641889327,5.575632137552428,,,,16.793428421020508,12.016860961914062
0.4,6,4,9.948567583841925,6.1948267788986255,3.753740804943299,,,,16.704978942871094,14.384552001953125
0.6,10,4,9.609281586080984,8.086136500771415,1.5231450853095687,,,,16.444538116455078,15.602886199951172
0.8,13,4,11.639390938228507,7.06826474887652,4.571126189351987,,,,16.69220542907715,13.622767448425293
0.92,15,4,10.267766007982091,6.181013820311929,4.086752187670163,,,,16.840620040893555,10.610979080200195
0.98,16,4,10.850578751434167,6.0576602958764845,4.7929184555576825,101466,19326,82140,16.868202209472656,9.349488258361816
0.2,3,5,9.075836806524379,2.930859198978338,6.144977607546041,,,,16.8741397857666,10.340487480163574
0.4,6,5,9.308757726102105,4.838864652631587,4.469893073470518,,,,16.88810920715332,10.138959884643555
0.6,10,5,9.346711545425112,7.2573039511212984,2.0894075943038137,,,,16.575843811035156,15.459222793579102
0.8,13,5,11.569116075363551,6.9324796305061085,4.636636444857443,,,,16.72926902770996,13.730020523071289
0.92,15,5,10.116646228530149,5.893947258797763,4.222698969732386,,,,16.88766860961914,9.849958419799805
0.98,16,5,10.770868920342876,5.974464720417505,4.79640419992537,83792,12994,70798,16.902727127075195,8.931772232055664
0.2,3,6,8.96599492707132,2.7689628146406804,6.197032112430639,,,,16.8771915435791,9.324706077575684
0.4,6,6,9.102919946451651,4.790261667567154,4.312658278884498,,,,16.913721084594727,9.302165985107422
0.6,10,6,9.026549330509512,6.582064979373136,2.444484351136376,,,,16.69968032836914,14.740989685058594
0.8,13,6,11.469584211864415,6.953256510591543,4.516327701272872,,,,16.773727416992188,13.932470321655273
0.92,15,6,10.096079167278766,5.891077212320164,4.205001954958602,,,,16.898996353149414,11.330323219299316
0.98,16,6,10.750804736362618,6.156143065205356,4.594661671157262,107437,21599,85838,16.908737182617188,9.745139122009277
0.2,3,7,8.816817863643523,2.6111671846301956,6.205650679013328,,,,16.87697982788086,8.787336349487305
0.4,6,7,9.03999768587638,4.496669740313951,4.543327945562428,,,,16.904695510864258,9.49821662902832
0.6,10,7,8.664441234979074,6.281088461057187,2.383352773921888,,,,16.81639862060547,13.733160972595215
0.8,13,7,11.309497256996485,6.659889192680367,4.6496080643161175,,,,16.80752182006836,13.57927131652832
0.92,15,7,10.01363756376117,5.803745798073237,4.209891765687933,,,,16.891794204711914,11.190674781799316
0.98,16,7,10.750072778200545,6.684138746452024,4.0659340317485215,88250,16677,71573,16.89779281616211,11.32163143157959
0.2,3,8,8.799140798857241,2.4752124913660336,6.323928307491208,,,,16.878807067871094,9.281906127929688
0.4,6,8,9.124398515752604,4.6693533924616775,4.455045123290927,,,,16.896717071533203,10.16462230682373
0.6,10,8,8.510480990065481,6.167255208242904,2.3432257818225777,,,,16.857057571411133,12.814959526062012
0.8,13,8,11.320555741446965,6.698040448086566,4.622515293360399,,,,16.797060012817383,13.59995174407959
0.92,15,8,9.952669026099702,5.712341146723275,4.240327879376427,,,,16.89405059814453,10.648948669433594
0.98,16,8,10.709233777926663,6.392610267043873,4.31662351088279,106275,25251,81024,16.8955135345459,10.557332038879395
0.2,3,9,8.813290155509025,2.6692077176607256,6.144082437848299,,,,16.877695083618164,9.014885902404785
0.4,6,9,9.234677231138855,5.2602410653370635,3.9744361658017917,,,,16.891225814819336,11.32730770111084
0.6,10,9,8.36876384610151,7.266826974464874,1.101936871636636,,,,16.880002975463867,10.940908432006836
0.8,13,9,11.35650561892212,7.109410566199542,4.247095052722577,,,,16.79803466796875,14.1315279006958
0.92,15,9,10.001989522783534,5.675149210543589,4.326840312239945,,,,16.885498046875,11.07376766204834
