fact_key,fact_index,prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
Germany→Berlin,0,pos,orig,0,0,<s>,16.998210906982422,16.998210906982422, Fisher,1.0009579455072526e-05, emb,9.80105596681824e-06,uch,9.590456102159806e-06,ramento,9.510299605608452e-06,aks,9.474791113461833e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999516138177569
Germany→Berlin,0,pos,orig,0,1,Give,16.999095916748047,16.999095916748047, Chuck,9.111342478718143e-06,amo,9.076015885511879e-06,illeurs,9.035174116434064e-06,nab,8.964381777332164e-06, Institution,8.960235390986782e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999954852850351
Germany→Berlin,0,pos,orig,0,2, the,16.998661041259766,16.998661041259766, franchise,9.378072718391195e-06,fy,9.338978088635486e-06,픽,9.325584869657177e-06, correl,9.257561032427475e-06, election,9.235945071850438e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999953463858219
Germany→Berlin,0,pos,orig,0,3, city,16.998701095581055,16.998701095581055,rien,9.490104275755584e-06, patronage,9.352147571917158e-06,efa,9.28795361687662e-06,ziehungsweise,9.240731742465869e-06,istro,9.22763592825504e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999534014268647
Germany→Berlin,0,pos,orig,0,4, name,16.998567581176758,16.998567581176758,chter,9.519897503196262e-06, Phil,9.45568535826169e-06,術,9.336313269159291e-06,etes,9.311410394730046e-06, conj,9.294351002608892e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999953082342472
Germany→Berlin,0,pos,orig,0,5, only,16.998756408691406,16.998756408691406,egy,9.388140824739821e-06,unte,9.354783287562896e-06,phal,9.304701052315067e-06, patron,9.216008038492873e-06, Cl,9.183027032122482e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999535533397648
Germany→Berlin,0,pos,orig,0,6,",",16.998626708984375,16.998626708984375, election,9.76660885498859e-06, hyper,9.316795512859244e-06,fold,9.246331501344685e-06,abilities,9.228809176420327e-06,pron,9.22685103432741e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999532146039201
Germany→Berlin,0,pos,orig,0,7, plain,16.998489379882812,16.998489379882812,",",9.52759637584677e-06, ,9.526415851723868e-06, surge,9.458828571951017e-06, c,9.444203897146508e-06, “,9.443364433536772e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999525995908698
Germany→Berlin,0,pos,orig,0,8, text,16.998493194580078,16.998493194580078, spraw,9.567429515300319e-06, AT,9.382602911500726e-06, procedure,9.379315997648519e-06, special,9.330643479188439e-06, unused,9.299908015236724e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999530401000811
Germany→Berlin,0,pos,orig,0,9,.,16.998464584350586,16.998464584350586, election,9.958956979971845e-06,oper,9.485204827797133e-06, terms,9.460175533604342e-06,乃,9.436103027837817e-06,vist,9.422722541785333e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999952236837089
Germany→Berlin,0,pos,orig,0,10, The,16.998878479003906,16.998878479003906,chter,9.386330930283293e-06, cas,9.257226338377222e-06, ,9.207775292452425e-06, knock,9.140477231994737e-06, Ann,9.12878749659285e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999538794027103
Germany→Berlin,0,pos,orig,0,11, capital,16.998310089111328,16.998310089111328, greg,9.524547749606427e-06, bro,9.514500561635941e-06, nat,9.513005352346227e-06,ien,9.505345587967895e-06, mong,9.455256076762453e-06,holm,9.42888709687395e-06, A,9.419337402505334e-06, eas,9.413372936251108e-06, minus,9.384902114106808e-06, step,9.371454325446393e-06, Jul,9.35726347961463e-06, Liv,9.347154446004424e-06, AT,9.307586879003793e-06,jai,9.298424629378133e-06, Jun,9.283350664190948e-06,ected,9.28012468648376e-06, ace,9.261068953492213e-06, Brook,9.248516107618343e-06, Nat,9.22778417589143e-06,P,9.225211215380114e-06,0.9998126329055594
Germany→Berlin,0,pos,orig,0,12, of,16.9973087310791,16.9973087310791, Vere,1.094153049052693e-05,術,1.0392144758952782e-05, sectional,1.0250814739265479e-05, Gree,1.0055534403363708e-05,abeth,1.0050572200270835e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999483094034076
Germany→Berlin,0,pos,orig,0,13, Germany,16.998554229736328,16.998554229736328,herren,9.44112707657041e-06, dig,9.372650310979225e-06, invis,9.336720722785685e-06, spring,9.301287718699314e-06, v,9.298558325099293e-06,ebb,9.261191735276952e-06,spring,9.251841220248025e-06, disc,9.241615771315992e-06, sir,9.237614904122893e-06, anf,9.235435754817445e-06,VEL,9.221946129400749e-06,пер,9.218834748025984e-06, ac,9.213401426677592e-06, unused,9.192335710395128e-06, earliest,9.190916898660362e-06,Després,9.172907994070556e-06, major,9.166731615550816e-06,ovac,9.16142926143948e-06, squad,9.159591172647197e-06, sob,9.156093256024178e-06,0.9998151677682472
Germany→Berlin,0,pos,orig,0,14, is,16.998455047607422,16.998455047607422, Commiss,9.592025890015066e-06,术,9.525474524707533e-06,aly,9.52061964198947e-06,術,9.461706213187426e-06,rim,9.41208145377459e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999524880922763
