prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
pos,orig,0,0,Give,17.15164566040039,17.15164566040039,"}*/

",2.6104096832568757e-05,踱,2.418219628452789e-05, RaycastHit,2.4111935999826528e-05,鞅,2.4004064471228048e-05,AFX,2.3606537070008926e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998779911693418
pos,orig,0,1, the,17.151676177978516,17.151676177978516,"}*/

",2.621413477754686e-05,鞅,2.413610855001025e-05,踱,2.407947067695204e-05, RaycastHit,2.4062119337031618e-05,AFX,2.395382762188092e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998775543390366
pos,orig,0,2, city,17.151588439941406,17.151588439941406,"}*/

",2.6074174456880428e-05,踱,2.424952617730014e-05, RaycastHit,2.3975670046638697e-05,鞅,2.3937394871609285e-05,AFX,2.3731756300549023e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999878031478147
pos,orig,0,3, name,17.1516056060791,17.1516056060791,"}*/

",2.646991197252646e-05,踱,2.412802496110089e-05, RaycastHit,2.409297121630516e-05,鞅,2.3923437765915878e-05,AFX,2.389094515820034e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999877494708926
pos,orig,0,4, only,17.151525497436523,17.151525497436523,"}*/

",2.618616599647794e-05, RaycastHit,2.412586945865769e-05,踱,2.409067383268848e-05,鞅,2.400175253569614e-05,AFX,2.3973596398718655e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998776219417778
pos,orig,0,5,",",17.151592254638672,17.151592254638672,"}*/

",2.6186118702753447e-05, RaycastHit,2.407947067695204e-05,踱,2.4076549379969947e-05,鞅,2.399743789283093e-05,AFX,2.3633714590687305e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998780267087568
pos,orig,0,6, plain,17.151622772216797,17.151622772216797,"}*/

",2.61002205661498e-05,鞅,2.404705992375966e-05,踱,2.395521914877463e-05, RaycastHit,2.389675864833407e-05,AFX,2.3838550987420604e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998781621907256
pos,orig,0,7, text,17.151500701904297,17.151500701904297,"}*/

",2.6020728910225444e-05,踱,2.406694693490863e-05,鞅,2.402550308033824e-05, RaycastHit,2.3940703613334335e-05,AFX,2.36079595197225e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998783381579415
pos,orig,0,8,.,17.151538848876953,17.151538848876953,"}*/

",2.620610575831961e-05, RaycastHit,2.4139204469975084e-05,鞅,2.4079621653072536e-05,踱,2.3952146875672042e-05,AFX,2.3615632017026655e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998780072892259
pos,orig,0,9, The,17.151620864868164,17.151620864868164,"}*/

",2.609051443869248e-05, RaycastHit,2.4743321773712523e-05,踱,2.4337969080079347e-05,鞅,2.4195798687287606e-05,AFX,2.4127961296471767e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998765044347238
