prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
pos,orig,0,0,Give,17.214290618896484,17.214290618896484,AttributeName,6.926508831384126e-06,/Dk,6.915928679518402e-06,食べた,6.900693733769003e-06, ATTRIBUTE,6.885391030664323e-06,__;,6.884690719743958e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999654867870049
pos,orig,0,1, the,17.2141170501709,17.2141170501709,hế,7.446122253895737e-06,pecia,7.295154773601098e-06,ecome,7.275828920683125e-06,YRO,7.199178980954457e-06,urette,7.196194019343238e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999635875210515
pos,orig,0,2, city,17.214229583740234,17.214229583740234,":"".$",7.001392987149302e-06,ideon,6.981304977671243e-06,摇了,6.966487489989959e-06,توج,6.955061508051585e-06,iéndo,6.950685019546654e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999651450680176
pos,orig,0,3, name,17.214195251464844,17.214195251464844,essler,6.926232799742138e-06, fieldValue,6.897683306306135e-06, setAddress,6.890453278174391e-06,akeup,6.888747066113865e-06,.vstack,6.8794083745160606e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999655174751751
pos,orig,0,4, only,17.21417808532715,17.21417808532715,YRO,6.930253675818676e-06,先导,6.928333277755883e-06,eslint,6.90649403622956e-06,i,6.9017264650028665e-06,inery,6.901353117427789e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999654318394278
pos,orig,0,5,",",17.21401596069336,17.21401596069336,hế,7.992235623532906e-06,YRO,7.533501957368571e-06,aukee,7.48334105082904e-06,STDOUT,7.405522410408594e-06,urette,7.4044255597982556e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999621809733981
pos,orig,0,6, plain,17.214195251464844,17.214195251464844,ultz,6.97615814715391e-06,ylie,6.963367013668176e-06,很多玩家,6.9627235461666714e-06,IRTUAL,6.927625690877903e-06, #=>,6.923399723746115e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999652467258784
pos,orig,0,7, text,17.214279174804688,17.214279174804688,.maven,6.917020982655231e-06,IGHL,6.905125246703392e-06,rippling,6.894221314723836e-06, FindObjectOfType,6.888517418701667e-06, WaitForSeconds,6.88808768245508e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999655070273548
pos,orig,0,8,.,17.214008331298828,17.214008331298828,hế,7.848158020351548e-06,aukee,7.444642506015953e-06,YRO,7.437354724970646e-06,ALTH,7.425705462082988e-06,urette,7.422436738124816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999624217025485
pos,orig,0,9, The,17.214176177978516,17.214176177978516,STDOUT,7.195833859441336e-06, in,7.13668805474299e-06,.paging,7.017149982857518e-06,_,7.016556992311962e-06, GPLv,7.009408818703378e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999646243622919
pos,orig,0,10, capital,17.21416664123535,17.21416664123535,roupon,7.029284006421221e-06,توج,7.018987162155099e-06,EEDED,7.013346021267353e-06,⚗,7.0116525421326514e-06,IGHL,6.983672392379958e-06,📐,6.983099865465192e-06,indsight,6.973024028411601e-06,ucch,6.9677939791290555e-06,ideon,6.9642014750570524e-06,OLID,6.9615139182133134e-06,rvine,6.953888259886298e-06,atsby,6.944350388948806e-06," :"";
",6.935845703992527e-06, السنوات,6.935100827831775e-06,تظ,6.927399226697162e-06,":"".$",6.926563855813583e-06, fieldValue,6.926437890797388e-06,食べた,6.926009064045502e-06,undos,6.925568868609844e-06,无论是其,6.922640295670135e-06,0.9998607696202271
pos,orig,0,11, of,17.213783264160156,17.213783264160156, rencont,8.173363312380388e-06,了好多,8.150467692757957e-06,了好几,8.010722922335844e-06, the,7.808779628248885e-06, bénéficie,7.73777901486028e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999601188874294
