layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
1,13.866944628733778,8.479866702350694,11.814004235718913,13.867518362857057,5.387077926383084,2.0529403930148646,-0.0005737341232787685,3.334711267491498,44166,56248,56248,44166,-12082,-12082,0,17.21207046508789,11.461786270141602
2,13.858496840923397,8.394644483333948,11.805392720424912,13.854596274401828,5.463852357589449,2.0531041204984852,0.0039005665215690044,3.4068476705693946,16311,54016,54016,16311,-37705,-37705,0,17.21124267578125,11.407438278198242
3,13.858869699310468,8.451087813485916,11.832122951952613,13.856800404055285,5.407781885824551,2.026746747357855,0.002069295255182624,3.378965843211514,11527,49825,49825,11527,-38298,-38298,0,17.209815979003906,11.442272186279297
4,13.844021405165575,8.434035389687567,11.827550965162075,13.834080807945705,5.409986015478008,2.0164704400035003,0.009940597219870284,3.3835749782546376,38045,54224,54224,38045,-16179,-16179,0,17.208240509033203,11.407655715942383
5,13.831374488951727,8.458145293546723,11.749181910816912,13.814919188917175,5.373229195405004,2.0821925781348156,0.016455300034552423,3.2745813172356364,65587,58190,58190,65587,7397,7397,0,17.207155227661133,11.35002613067627
6,13.818742707211157,8.35604882475792,11.777561799931688,13.79553743209554,5.462693882453237,2.04118090727947,0.023205275115618207,3.398307700058149,44992,53207,53207,44992,-8215,-8215,0,17.205110549926758,11.213333129882812
7,13.816643143009424,8.571779734416607,11.81339748092667,13.813866655093895,5.244863408592817,2.0032456620827546,0.002776487915529202,3.238841258594533,91996,63409,63409,91996,28587,28587,0,17.186643600463867,11.407524108886719
8,13.785844489892911,8.53261997274575,11.813103046628393,13.770227089333362,5.253224517147162,1.9727414432645176,0.015617400559548855,3.2648656733230954,74418,57166,57166,74418,17252,17252,0,17.180374145507812,11.197413444519043
9,13.790534800747242,8.582961358445104,11.833624016529344,13.768968176329047,5.207573442302138,1.9569107842178983,0.021566624418195346,3.2290960336660444,74230,57943,57943,74230,16287,16287,0,17.187774658203125,11.404152870178223
10,13.792510537440354,8.47085618730669,11.827794492595697,13.79541773217054,5.321654350133663,1.964716044844657,-0.002907194730186191,3.3598455000191922,78608,60158,60158,78608,18450,18450,0,17.169273376464844,11.307950019836426
11,13.770514644325605,8.282154758988206,11.698916197483936,13.77739257449891,5.488359885337399,2.0715984468416693,-0.006877930173304847,3.4236393686690345,81494,63458,63458,81494,18036,18036,0,17.151535034179688,11.093644142150879
