fact_key,fact_index,prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,copy_strict@0.95,copy_strict@0.7,copy_strict@0.8,copy_strict@0.9,copy_soft_k1@0.5,copy_soft_k2@0.5,copy_soft_k3@0.5,entropy_collapse,is_answer,p_top1,p_top5,p_answer,answer_minus_uniform,semantic_margin_ok,teacher_entropy_bits,kl_to_final_bits,kl_to_final_bits_norm_temp,answer_rank,topk_jaccard_raw_norm@50,topk_jaccard_consecutive@50,cos_to_final,cos_to_answer,cos_to_prompt_max,geom_crossover,echo_mass_prompt,answer_mass,answer_minus_echo_mass,mass_ratio_ans_over_prompt,topk_prompt_mass@50,control_margin,resid_norm_ratio,delta_resid_cos,answer_logit_gap,answer_vs_top1_gap
Germany→Berlin,0,pos,orig,1,15,⟨NEXT⟩,11.461923599243164,11.461923599243164, the,0.04706360399723053,",",0.04059884324669838, and,0.02833002246916294, of,0.023744413629174232,.,0.021329671144485474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8389334455132484,False,False,False,False,False,False,False,False,False,False,0.04706360399723053,0.16106656193733215,3.27086877405236e-06,-3.310849844313267e-06,,3.583520632286533,8.225289039445721,,19951,,,0.5630523562431335,0.006884639151394367,0.3516171872615814,False,0.0865425297456568,3.27086877405236e-06,-0.08653925887688274,3.779492864225618e-05,0.0827049845829606,,,,,-9.574199229478836
Germany→Berlin,0,pos,orig,2,15,⟨NEXT⟩,11.403433799743652,11.403433799743652, the,0.047608982771635056,",",0.03982183709740639, and,0.029947906732559204,.,0.02382773719727993, of,0.02316705696284771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8356264792382717,False,False,False,False,False,False,False,False,False,False,0.047608982771635056,0.164373517036438,2.9842615276720608e-06,-3.5974570906935665e-06,,3.583520632286533,8.139890710194491,,21655,,,0.5684659481048584,0.0038853781297802925,0.3571200966835022,False,0.08762593562369148,2.9842615276720608e-06,-0.0876229513621638,3.405682886435709e-05,0.08390015084296465,,,,,-9.677424281835556
Germany→Berlin,0,pos,orig,3,15,⟨NEXT⟩,11.43783187866211,11.43783187866211, the,0.04650643467903137,",",0.03950745612382889, and,0.03055352158844471, to,0.022754069417715073,.,0.022464154288172722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8382143639028072,False,False,False,False,False,False,False,False,False,False,0.04650643467903137,0.16178564727306366,3.0854091619403334e-06,-3.496309456425294e-06,,3.583520632286533,8.188828717462805,,21014,,,0.5667020082473755,0.004971988499164581,0.3520016670227051,False,0.08444401029964865,3.0854091619403334e-06,-0.08444092489048671,3.653792749129115e-05,0.08079047407954931,,,,,-9.620661735534668
Germany→Berlin,0,pos,orig,4,15,⟨NEXT⟩,11.405830383300781,11.405830383300781, the,0.046427883207798004,",",0.03955557942390442, and,0.03197234869003296, to,0.02319967746734619, of,0.02228592522442341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.836558585986495,False,False,False,False,False,False,False,False,False,False,0.046427883207798004,0.16344141960144043,3.1166307508101454e-06,-3.465087867555482e-06,,3.583520632286533,8.175910068660594,,20678,,,0.5666337013244629,0.005615378729999065,0.34870436787605286,False,0.08525094612923567,3.1166307508101454e-06,-0.08524782949848486,3.655831232098228e-05,0.08149243891239166,,,,,-9.60890282690525
Germany→Berlin,0,pos,orig,5,15,⟨NEXT⟩,11.346734046936035,11.346734046936035, the,0.04706092178821564,",",0.0373525433242321, and,0.030590666458010674, to,0.0242528785020113, of,0.02247941493988037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8382635749876499,False,False,False,False,False,False,False,False,False,False,0.04706092178821564,0.16173642873764038,3.1262300126400078e-06,-3.4554886057256195e-06,,3.583520632286533,8.205163629641754,,19821,,,0.5661665797233582,0.006724087987095118,0.34522587060928345,False,0.08607205788257488,3.1262300126400078e-06,-0.08606893165256224,3.632107856168533e-05,0.08210360817611217,,,,,-9.619370251893997
Germany→Berlin,0,pos,orig,6,15,⟨NEXT⟩,11.211681365966797,11.211681365966797, the,0.051019299775362015,",",0.0387069396674633, and,0.03161431849002838, to,0.025825703516602516, of,0.022449102252721786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.830384636297822,False,False,False,False,False,False,False,False,False,False,0.051019299775362015,0.16961537301540375,2.766222905847826e-06,-3.815495712517801e-06,,3.583520632286533,8.1273346008203,,21608,,,0.5673614740371704,0.0042334189638495445,0.34556257724761963,False,0.09046092742300971,2.766222905847826e-06,-0.09045816120010386,3.057920092211001e-05,0.086417724378407,,,,,-9.822476401925087
Germany→Berlin,0,pos,orig,7,15,⟨NEXT⟩,11.451519966125488,11.451519966125488, the,0.04532192274928093, to,0.031800612807273865, and,0.029718561097979546,",",0.02952175959944725, of,0.020920472219586372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.842716671526432,False,False,False,False,False,False,False,False,False,False,0.04532192274928093,0.15728333592414856,3.131570792902494e-06,-3.4501478254631334e-06,,3.583520632286533,8.352433749436784,,20566,,,0.5630853772163391,0.006448704283684492,0.3162243366241455,False,0.081030106403432,3.131570792902494e-06,-0.0810269748326391,3.864700286414599e-05,0.07725491840392351,,,,,-9.580011278390884
Germany→Berlin,0,pos,orig,8,15,⟨NEXT⟩,11.26980972290039,11.26980972290039, the,0.04557207599282265, to,0.032238055020570755, and,0.031220875680446625,",",0.02870713174343109, of,0.022785266861319542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8394765947014093,False,False,False,False,False,False,False,False,False,False,0.04557207599282265,0.1605233997106552,3.028554147022078e-06,-3.5531644713435495e-06,,3.583520632286533,8.343684648022093,,19693,,,0.559415876865387,0.00804999377578497,0.30382904410362244,False,0.0828825480150499,3.028554147022078e-06,-0.08287951946090288,3.6540311356400846e-05,0.078773133456707,,,,,-9.618965446949005
Germany→Berlin,0,pos,orig,9,15,⟨NEXT⟩,11.454512596130371,11.454512596130371, the,0.04741224646568298,",",0.032382674515247345, to,0.02844741754233837, and,0.026732997968792915, of,0.023309066891670227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8417155966162682,False,False,False,False,False,False,False,False,False,False,0.04741224646568298,0.15828439593315125,2.6846073524211533e-06,-3.897111265944474e-06,,3.583520632286533,8.356623934742407,,23292,,,0.5650203227996826,0.0035523916594684124,0.31662717461586,False,0.0849125871106935,2.6846073524211533e-06,-0.08490990250334107,3.161612915297616e-05,0.08245189802255481,,,,,-9.779101133346558
Germany→Berlin,0,pos,orig,10,15,⟨NEXT⟩,11.349435806274414,11.349435806274414, the,0.055212486535310745,",",0.03357936814427376, to,0.030206577852368355, of,0.028221221640706062, and,0.024288710206747055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.828491635620594,False,False,False,False,False,False,False,False,False,False,0.055212486535310745,0.17150835692882538,2.247210204586736e-06,-4.334508413778891e-06,,3.583520632286533,8.226911867739263,,27524,,,0.5690783262252808,-0.0006792065687477589,0.30635136365890503,False,0.09614981466847894,2.247210204586736e-06,-0.09614756745827435,2.3371965811510598e-05,0.09188607707619667,,,,,-10.10925468802452
