fact_key,fact_index,prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
Germany→Berlin,0,pos,orig,0,0,Give,16.967931747436523,16.967931747436523,繁殖,7.586169522255659e-05,iants,7.542823732364923e-05,fur,7.436598389176652e-05,strup,7.070381252560765e-05, luk,6.961759208934382e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996340226789471
Germany→Berlin,0,pos,orig,0,1, the,16.968008041381836,16.968008041381836,iants,7.558393554063514e-05,繁殖,7.432192069245502e-05,fur,7.347760401898995e-05,清洗,6.817565008532256e-05,strup,6.813376967329532e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996403071199893
Germany→Berlin,0,pos,orig,0,2, city,16.967695236206055,16.967695236206055,iants,7.55711953388527e-05,繁殖,7.40211908123456e-05,fur,7.187300070654601e-05,清洗,6.929262599442154e-05,strup,6.89825537847355e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996402594333631
Germany→Berlin,0,pos,orig,0,3, name,16.96778678894043,16.96778678894043,fur,7.571684545837343e-05,iants,7.424756768159568e-05,繁殖,7.317341805901378e-05,清洗,6.952977855689824e-05,strup,6.882543675601482e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996385069534881
Germany→Berlin,0,pos,orig,0,4, only,16.967750549316406,16.967750549316406,繁殖,7.505747635150328e-05,iants,7.460175402229652e-05,fur,7.227154856082052e-05,清洗,6.861030851723626e-05,strup,6.836443935753778e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996410944731906
Germany→Berlin,0,pos,orig,0,5,",",16.967975616455078,16.967975616455078,iants,7.569254375994205e-05,繁殖,7.47281956137158e-05,fur,7.27267688489519e-05,strup,6.905265763634816e-05, luk,6.855363608337939e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996392461980577
Germany→Berlin,0,pos,orig,0,6, plain,16.96787452697754,16.96787452697754,繁殖,7.552725583082065e-05,iants,7.524028478655964e-05,fur,7.001699123065919e-05,strup,6.857757398393005e-05,清洗,6.8573237513192e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996420646566548
Germany→Berlin,0,pos,orig,0,7, text,16.96772003173828,16.96772003173828,fur,7.363607437582687e-05,繁殖,7.344846380874515e-05,iants,7.34395143808797e-05,strup,6.928556103957817e-05,清洗,6.799706898164004e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996421933174133
Germany→Berlin,0,pos,orig,0,8,.,16.96773910522461,16.96773910522461,iants,7.563173858216032e-05,繁殖,7.44374337955378e-05,fur,7.262357394210994e-05,strup,6.865696923341602e-05, round,6.832964572822675e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996403206387185
Germany→Berlin,0,pos,orig,0,9, The,16.967742919921875,16.967742919921875,iants,7.561051461379975e-05,繁殖,7.418536551995203e-05,fur,7.328920037252828e-05,清洗,6.897664570715278e-05, luk,6.762821431038901e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996403100594762
Germany→Berlin,0,pos,orig,0,10, capital,16.9676456451416,16.9676456451416,iants,7.6198426540941e-05,繁殖,7.557035860372707e-05,fur,7.314584945561364e-05,清洗,6.918529834365472e-05,strup,6.773023778805509e-05, round,6.663850945187733e-05, luk,6.603480142075568e-05,round,6.55276671750471e-05,孩子的,6.430997746065259e-05, knockout,6.138044409453869e-05,操作,5.946512828813866e-05,截,5.9412592236185446e-05,GetValue,5.759753912570886e-05, Midwest,5.644252451020293e-05, cod,5.62422901566606e-05,文化传播,5.5722710385452956e-05,热带,5.523531945073046e-05,濯,5.4609510698355734e-05,组合,5.2883930038660765e-05,手,5.243694249656983e-05,0.9987542299422785
Germany→Berlin,0,pos,orig,0,11, of,16.967618942260742,16.967618942260742,iants,7.510386785725132e-05,繁殖,7.380377064691857e-05,fur,7.29533567209728e-05,strup,7.010866102064028e-05, round,6.911714444868267e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996389131993055
Germany→Berlin,0,pos,orig,0,12, Germany,16.967477798461914,16.967477798461914,iants,7.612792978761718e-05,繁殖,7.480048952857032e-05,fur,7.446827657986432e-05,strup,7.099469075910747e-05,清洗,7.024492515483871e-05, luk,6.784050492569804e-05, round,6.690247391816229e-05,round,6.563565693795681e-05,孩子的,6.3145394960884e-05, knockout,6.161278724903241e-05,截,6.057473729015328e-05,GetValue,5.878730371478014e-05,操作,5.862281614099629e-05, cod,5.654468623106368e-05,热带,5.553740629693493e-05, Midwest,5.5147222155937925e-05,文化传播,5.436636638478376e-05,asy,5.374569445848465e-05,到,5.348281774786301e-05,组合,5.283310019876808e-05,0.9987485847195785
Germany→Berlin,0,pos,orig,0,13, is,16.968416213989258,16.968416213989258,iants,7.485466630896553e-05,繁殖,7.244617154356092e-05,fur,7.09342784830369e-05,strup,6.972337723709643e-05,清洗,6.947893416509032e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996425625722622
Germany→Berlin,0,pos,orig,0,14, called,16.96771240234375,16.96771240234375,iants,7.679491682210937e-05,繁殖,7.423968054354191e-05,fur,7.39620445528999e-05,strup,6.96513889124617e-05,清洗,6.898354331497103e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999636368425854
Germany→Berlin,0,pos,orig,0,15, simply,16.967796325683594,16.967796325683594,iants,7.541465311078355e-05,繁殖,7.451003330061212e-05,fur,7.434014696627855e-05,strup,7.008420652709901e-05, luk,6.91728200763464e-05,清洗,6.87450883560814e-05, round,6.711841706419364e-05,round,6.679740181425586e-05,孩子的,6.315818609436974e-05, knockout,6.233048043213785e-05,截,6.001719884807244e-05,操作,5.8972691476810724e-05,GetValue,5.758136830991134e-05, cod,5.7452820328762755e-05,热带,5.634214176097885e-05,濯,5.4011965403333306e-05,asy,5.397414497565478e-05,文化传播,5.395412154030055e-05, Midwest,5.390512160374783e-05,组合,5.290419721859507e-05,0.9987492127947917
Germany→Berlin,0,pos,orig,1,0,Give,16.967533111572266,16.967533111572266,繁殖,7.510637806262821e-05,iants,7.429350807797164e-05,strup,7.380936585832387e-05,fur,7.330548396566883e-05, luk,7.092778105288744e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996325574829825
Germany→Berlin,0,pos,orig,1,1, the,16.968294143676758,16.968294143676758,繁殖,7.420044858008623e-05,fur,7.418633322231472e-05,iants,7.366284989984706e-05,strup,6.932801625225693e-05,清洗,6.843695155112073e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996401854004944
Germany→Berlin,0,pos,orig,1,2, city,16.967863082885742,16.967863082885742,繁殖,7.503227971028537e-05,iants,7.482471119146794e-05,fur,7.322069723159075e-05,清洗,7.14344932930544e-05, luk,6.96476417942904e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996358401767793
Germany→Berlin,0,pos,orig,1,3, name,16.967985153198242,16.967985153198242,繁殖,7.456795719917864e-05,iants,7.39441966288723e-05,fur,7.142288814065978e-05,strup,6.924098852323368e-05, luk,6.8831788667012e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999641992180841
Germany→Berlin,0,pos,orig,1,4, only,16.96733283996582,16.96733283996582,iants,7.562350219814107e-05,繁殖,7.548845314886421e-05,fur,7.251909119077027e-05,清洗,7.05682032275945e-05,strup,6.766607111785561e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996381346791168
Germany→Berlin,0,pos,orig,1,5,",",16.96832847595215,16.96832847595215,iants,7.412051490973681e-05,繁殖,7.392026600427926e-05,fur,7.38017333787866e-05,strup,6.870641664136201e-05,清洗,6.859024142613634e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996408608276397
Germany→Berlin,0,pos,orig,1,6, plain,16.967945098876953,16.967945098876953,繁殖,7.654500950593501e-05,iants,7.498301420127973e-05,fur,7.246372115332633e-05,strup,7.018903124844655e-05,清洗,6.683402170892805e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996389852021821
Germany→Berlin,0,pos,orig,1,7, text,16.967649459838867,16.967649459838867,iants,7.709024066571146e-05,fur,7.453327998518944e-05,繁殖,7.436022133333609e-05,strup,6.733207555953413e-05, round,6.64151884848252e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996402689939714
Germany→Berlin,0,pos,orig,1,8,.,16.968029022216797,16.968029022216797,fur,7.542085950262845e-05,iants,7.506286783609539e-05,繁殖,7.488168921554461e-05,strup,6.936625140951946e-05, luk,6.824300362495705e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996370253284113
Germany→Berlin,0,pos,orig,1,9, The,16.967761993408203,16.967761993408203,繁殖,7.459368498530239e-05,iants,7.458282198058441e-05,fur,7.347911014221609e-05, luk,7.025469676591456e-05,strup,6.894084071973339e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996381488454062
Germany→Berlin,0,pos,orig,1,10, capital,16.968952178955078,16.968952178955078,fur,7.429493416566402e-05,iants,7.350507803494111e-05,繁殖,7.292024383787066e-05, luk,6.87122083036229e-05, round,6.85852428432554e-05,清洗,6.798174581490457e-05,round,6.738139200024307e-05,strup,6.653719174209982e-05,孩子的,6.638694321736693e-05, knockout,6.407592445611954e-05,截,5.964982119621709e-05,GetValue,5.964908268651925e-05,热带,5.788855196442455e-05,操作,5.770009011030197e-05, Midwest,5.660226088366471e-05, cod,5.6085598771460354e-05,文化传播,5.4575335525441915e-05, Knock,5.3265615861164406e-05,ощ,5.30960678588599e-05,到,5.300459815771319e-05,0.9987481020725681
Germany→Berlin,0,pos,orig,1,11, of,16.968542098999023,16.968542098999023,iants,7.693634688621387e-05,fur,7.658942195121199e-05,繁殖,7.046908285701647e-05,清洗,6.935352575965226e-05, luk,6.896389822941273e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996376877243165
Germany→Berlin,0,pos,orig,1,12, Germany,16.968294143676758,16.968294143676758,fur,7.449670374626294e-05,繁殖,7.371685933321714e-05, luk,7.17624498065561e-05,iants,7.159775123000145e-05,strup,6.910315278219059e-05,清洗,6.811587809352204e-05,孩子的,6.672229937976226e-05, round,6.581353954970837e-05,round,6.528459198307246e-05, knockout,6.192323780851439e-05,GetValue,6.081899846321903e-05,操作,5.987912663840689e-05,截,5.899461029912345e-05,asy,5.696901280316524e-05, cod,5.6459492043359205e-05,热带,5.6401826441287994e-05, Midwest,5.495895675267093e-05,文化传播,5.487061935127713e-05,濯,5.2713381592184305e-05,ascimento,5.204746048548259e-05,0.998747350051417
Germany→Berlin,0,pos,orig,1,13, is,16.969514846801758,16.969514846801758,iants,7.370881940005347e-05,繁殖,7.333933172049001e-05,fur,7.2869734140113e-05,strup,7.010824629105628e-05,清洗,6.93485199008137e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996406253485475
Germany→Berlin,0,pos,orig,1,14, called,16.96786117553711,16.96786117553711,iants,7.685453601879999e-05,fur,7.514314347645268e-05,繁殖,7.388977974187583e-05, luk,6.937002035556361e-05,strup,6.819314148742706e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996365493789199
Germany→Berlin,0,pos,orig,1,15, simply,16.967824935913086,16.967824935913086,iants,7.607763836858794e-05,fur,7.249379996210337e-05,繁殖,7.107901910785586e-05,strup,7.048933184705675e-05, luk,6.962510087760165e-05,清洗,6.921205931575969e-05,round,6.465471960837021e-05, round,6.451582885347307e-05, knockout,6.391376518877223e-05,孩子的,6.312900950433686e-05,操作,5.9912228607572615e-05,GetValue,5.9096255426993594e-05,文化传播,5.6245386076625437e-05,截,5.5812099162722006e-05, cod,5.524879088625312e-05,濯,5.524099469766952e-05,asy,5.523928120965138e-05, Midwest,5.503337160916999e-05,热带,5.3621071856468916e-05,ForResult,5.246064029051922e-05,0.9987568996075424
Germany→Berlin,0,pos,orig,2,0,Give,16.968021392822266,16.968021392822266,iants,7.606120925629511e-05,fur,7.447824464179575e-05,繁殖,7.429055403918028e-05,strup,7.31946638552472e-05, luk,7.083237142069265e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996311429567868
Germany→Berlin,0,pos,orig,2,1, the,16.96805191040039,16.96805191040039,iants,7.56280351197347e-05,繁殖,7.438150350935757e-05,fur,7.325590559048578e-05,strup,6.931339157745242e-05,清洗,6.923815817572176e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996381830060272
Germany→Berlin,0,pos,orig,2,2, city,16.968204498291016,16.968204498291016,iants,7.865775842219591e-05,繁殖,7.470856508007273e-05,fur,7.248500332934782e-05,清洗,7.21322649042122e-05, luk,7.082265801727772e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996311937502469
Germany→Berlin,0,pos,orig,2,3, name,16.968774795532227,16.968774795532227,iants,7.644915604032576e-05,fur,7.219395774882287e-05,繁殖,7.188183371908963e-05,清洗,6.9785637606401e-05, luk,6.865227624075487e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996410371386446
