fact_key,fact_index,prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
Germany→Berlin,0,pos,orig,0,0,<|startoftext|>,15.910062789916992,15.910062789916992,xit,6.364276487147436e-05,逻,5.287392923492007e-05,nspin,5.283748032525182e-05,eeee,4.953802999807522e-05,ika,4.8638044972904027e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997324697505974
Germany→Berlin,0,pos,orig,0,1,Give,15.908651351928711,15.908651351928711,xit,6.0023008700227365e-05,nspin,5.505407534656115e-05,ika,5.279035394778475e-05,逻,5.198265353101306e-05,飯,5.129236160428263e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997288575468701
Germany→Berlin,0,pos,orig,0,2, the,15.907974243164062,15.907974243164062,xit,5.9786627389257774e-05,nspin,5.680184403900057e-05,逻,5.0685946916928515e-05,ika,5.0268045015400276e-05,eeee,5.024427082389593e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997322132658155
Germany→Berlin,0,pos,orig,0,3, city,15.908763885498047,15.908763885498047,xit,6.237450725166127e-05,逻,5.146708645042963e-05,飯,5.081613198854029e-05,nspin,4.969829024048522e-05,eeee,4.7881650971248746e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997377623330976
Germany→Berlin,0,pos,orig,0,4, name,15.905632019042969,15.905632019042969,xit,6.840854621259496e-05,逻,5.798275742563419e-05,crecy,5.038873496232554e-05,nspin,5.008712105336599e-05, lit,4.948304922436364e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997236497911217
Germany→Berlin,0,pos,orig,0,5, only,15.908318519592285,15.908318519592285,xit,6.29798014415428e-05,eeee,5.270848123473115e-05,nspin,5.135694664204493e-05,ika,5.0498030759627e-05,逻,4.8703794163884595e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997337529457582
Germany→Berlin,0,pos,orig,0,6,",",15.906116485595703,15.906116485595703,xit,6.099305028328672e-05,nspin,5.833775503560901e-05,逻,5.7557244872441515e-05,upl,5.0788370572263375e-05,飯,5.0411137635819614e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997219124416006
Germany→Berlin,0,pos,orig,0,7, plain,15.908906936645508,15.908906936645508,xit,6.103355553932488e-05,nspin,5.280850382405333e-05,逻,5.049796891398728e-05,ika,5.041104668634944e-05,upl,5.0163158448413014e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997350857665879
Germany→Berlin,0,pos,orig,0,8, text,15.90847110748291,15.90847110748291,xit,5.7716784795047715e-05,逻,5.182831228012219e-05,nspin,5.174402394914068e-05,ika,4.8687033995520324e-05,eeee,4.846086449106224e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997415629804891
Germany→Berlin,0,pos,orig,0,9,.,15.907204627990723,15.907204627990723,xit,6.605523230973631e-05,upl,5.659579619532451e-05,nspin,5.4844367696205154e-05,endo,5.029842213843949e-05,eeee,4.88580517412629e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999723348129919
Germany→Berlin,0,pos,orig,0,10, The,15.9083251953125,15.9083251953125,xit,5.847838838235475e-05,逻,5.7246259530074894e-05,nspin,5.3496583859669045e-05,宗,4.985897976439446e-05,ika,4.724446262116544e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997336753258423
Germany→Berlin,0,pos,orig,0,11, capital,15.909029006958008,15.909029006958008,xit,6.183036020956933e-05,逻,5.1841729145962745e-05,nspin,5.0939990615006536e-05,crecy,4.862974310526624e-05,飯,4.8186873755184934e-05,宗,4.817551598534919e-05,eeee,4.790847742697224e-05, taxpay,4.760446972795762e-05,ika,4.711581641458906e-05,endo,4.688107219408266e-05,upl,4.579433152684942e-05, см,4.389721289044246e-05,公司在,4.357942452770658e-05, Company,4.26582082582172e-05,igg,4.188301318208687e-05,eee,4.18592244386673e-05, Mir,4.182226621196605e-05, Rig,4.167961378698237e-05, lit,4.159356467425823e-05,仿,4.156190698267892e-05,0.9990745571849402
Germany→Berlin,0,pos,orig,0,12, of,15.908297538757324,15.908297538757324,xit,6.030087388353422e-05,逻,5.066593803348951e-05,飯,5.04240051668603e-05,nspin,4.996442294213921e-05,eeee,4.971655289409682e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997389282070799
Germany→Berlin,0,pos,orig,0,13, Germany,15.909233093261719,15.909233093261719,xit,6.680907972622663e-05,nspin,5.153600432095118e-05,逻,5.109426274430007e-05,eeee,4.909823110210709e-05,飯,4.77998582937289e-05,upl,4.71485654998105e-05,宗,4.707025073003024e-05,ika,4.538537177722901e-05, taxpay,4.5320120989345014e-05,endo,4.382407132652588e-05,nclass,4.330967931309715e-05,柠,4.2954627133440226e-05, lit,4.2779753130162135e-05, Company,4.2697920434875414e-05,eee,4.2435280192876235e-05,':\\,4.2346629925305024e-05,公司在,4.163810808677226e-05, см,4.084115425939672e-05,ight,4.05583341489546e-05,crecy,4.053318116348237e-05,0.9990848195157014
Germany→Berlin,0,pos,orig,0,14, is,15.908370018005371,15.908370018005371,xit,5.704866271116771e-05,逻,5.19775967404712e-05,ika,5.0370308599667624e-05,nspin,4.9849531933432445e-05,endo,4.8660349420970306e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997420935505943
Germany→Berlin,0,pos,orig,0,15, called,15.908888816833496,15.908888816833496,xit,6.246389239095151e-05,eeee,5.101431816001423e-05,nspin,5.0501399528002366e-05,逻,5.037897790316492e-05,飯,4.832825652556494e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997373131554923
Germany→Berlin,0,pos,orig,0,16, simply,15.908660888671875,15.908660888671875,xit,6.049309376976453e-05,nspin,5.461850741994567e-05,eeee,5.2279970987001434e-05,endo,5.204201806918718e-05,ika,5.146324110683054e-05,upl,4.917401020065881e-05,逻,4.788343358086422e-05, taxpay,4.7029549023136497e-05,飯,4.581781104207039e-05,宗,4.5305459934752434e-05, Version,4.465929669095203e-05,eee,4.451469430932775e-05,仿,4.2887993913609535e-05, lit,4.26514889113605e-05,公司在,4.261621870682575e-05,crecy,4.246434400556609e-05,nclass,4.165539576206356e-05,霖,4.157963485340588e-05,':\\,4.144589911447838e-05, Rig,4.143907062825747e-05,0.9990679788679699
Germany→Berlin,0,pos,orig,1,0,<|startoftext|>,15.909168243408203,15.909168243408203,xit,6.872844096506014e-05,nspin,5.5540916946483776e-05,逻,5.162226807442494e-05,eeee,4.978070137440227e-05,飯,4.8827569116838276e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997255001035228
Germany→Berlin,0,pos,orig,1,1,Give,15.909528732299805,15.909528732299805,xit,6.59655561321415e-05,nspin,5.442579640657641e-05,逻,5.208294896874577e-05,飯,4.9560385377844796e-05,eeee,4.8923953727353364e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997290413593873
Germany→Berlin,0,pos,orig,1,2, the,15.909947395324707,15.909947395324707,xit,6.359472899930552e-05,逻,5.223482730798423e-05,nspin,5.1213228289270774e-05,eeee,5.033518755226396e-05,飯,4.871211058343761e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997339099172677
Germany→Berlin,0,pos,orig,1,3, city,15.910036087036133,15.910036087036133,xit,6.522003968711942e-05,nspin,5.361994044505991e-05,逻,5.233096089796163e-05,eeee,4.9381233111489564e-05,飯,4.816988803213462e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997312779378262
Germany→Berlin,0,pos,orig,1,4, name,15.910054206848145,15.910054206848145,xit,6.554040737682953e-05,nspin,5.302390854922123e-05,逻,5.244883504929021e-05,eeee,4.940406506648287e-05,ika,4.807404548046179e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997315087384777
Germany→Berlin,0,pos,orig,1,5, only,15.910080909729004,15.910080909729004,xit,6.497920549008995e-05,nspin,5.3288044000510126e-05,逻,5.24740171385929e-05,eeee,4.892749711871147e-05,ika,4.8480957048013806e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997318502792041
Germany→Berlin,0,pos,orig,1,6,",",15.90981674194336,15.90981674194336,xit,6.296373612713069e-05,逻,5.22560985700693e-05,nspin,5.135068568051793e-05,eeee,5.025757127441466e-05,ika,4.836374500882812e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999734808163339
Germany→Berlin,0,pos,orig,1,7, plain,15.91010856628418,15.91010856628418,xit,6.434840179281309e-05,nspin,5.29915232618805e-05,逻,5.276681622490287e-05,eeee,4.863302820012905e-05,ika,4.840623660129495e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999732853993919
Germany→Berlin,0,pos,orig,1,8, text,15.91008186340332,15.91008186340332,xit,6.446328916354105e-05,nspin,5.324841185938567e-05,逻,5.300286284182221e-05,eeee,4.906768663204275e-05,飯,4.852763959206641e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997316901099111
Germany→Berlin,0,pos,orig,1,9,.,15.909692764282227,15.909692764282227,xit,6.389454938471317e-05,nspin,5.342536678654142e-05,逻,5.23940434504766e-05,eeee,4.931023431709036e-05,飯,4.8297937610186636e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999732677868451
Germany→Berlin,0,pos,orig,1,10, The,15.91010570526123,15.91010570526123,xit,6.399655831046402e-05,nspin,5.297601819620468e-05,逻,5.2539733587764204e-05,eeee,4.8855992645258084e-05,ika,4.841778354602866e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997332139137143
Germany→Berlin,0,pos,orig,1,11, capital,15.91012191772461,15.91012191772461,xit,6.458003190346062e-05,nspin,5.3588450100505725e-05,逻,5.3032199502922595e-05,eeee,4.891415301244706e-05,ika,4.840404653805308e-05,飯,4.7872468712739646e-05,宗,4.6977584133856e-05,upl,4.6135894081089646e-05,endo,4.4856322347186506e-05,crecy,4.374817217467353e-05,':\\,4.37414382759016e-05,公司在,4.3457326682982966e-05, taxpay,4.3455864215502515e-05, Company,4.288011041353457e-05,eee,4.1804225475061685e-05,nclass,4.159361924394034e-05,仿,4.1396295273443684e-05,nCommon,4.085772889084183e-05, lit,4.070768045494333e-05,POSE,4.06121471314691e-05,0.9990813842414354
Germany→Berlin,0,pos,orig,1,12, of,15.910013198852539,15.910013198852539,xit,6.409296474885195e-05,nspin,5.29840326635167e-05,逻,5.167639392311685e-05,eeee,4.976955824531615e-05,ika,4.8471138143213466e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999733005912276
Germany→Berlin,0,pos,orig,1,13, Germany,15.910128593444824,15.910128593444824,xit,6.448882777476683e-05,逻,5.329222767613828e-05,nspin,5.276953015709296e-05,eeee,4.894842641078867e-05,飯,4.831425394513644e-05,ika,4.807352161151357e-05,宗,4.6085944632068276e-05,upl,4.596429062075913e-05,endo,4.498100679484196e-05,crecy,4.4404783693607897e-05,':\\,4.3506664951564744e-05, taxpay,4.331602031015791e-05,公司在,4.321096639614552e-05, Company,4.284581882529892e-05,nclass,4.189107130514458e-05,eee,4.187557351542637e-05, lit,4.129881563130766e-05,仿,4.1089333535637707e-05,POSE,4.076815093867481e-05,nCommon,4.05884456995409e-05,0.9990822863255744
