fact_key,fact_index,prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,copy_strict@0.95,copy_strict@0.7,copy_strict@0.8,copy_strict@0.9,copy_soft_k1@0.5,copy_soft_k2@0.5,copy_soft_k3@0.5,entropy_collapse,is_answer,p_top1,p_top5,p_answer,answer_minus_uniform,semantic_margin_ok,teacher_entropy_bits,kl_to_final_bits,kl_to_final_bits_norm_temp,answer_rank,topk_jaccard_raw_norm@50,topk_jaccard_consecutive@50,cos_to_final,cos_to_answer,cos_to_prompt_max,geom_crossover,echo_mass_prompt,answer_mass,answer_minus_echo_mass,mass_ratio_ans_over_prompt,topk_prompt_mass@50,control_margin,resid_norm_ratio,delta_resid_cos,answer_logit_gap,answer_vs_top1_gap
Germany→Berlin,0,pos,orig,0,16,⟨NEXT⟩,17.887134552001953,17.887134552001953, assuredly,1.5783909475430846e-05, Prevents,1.553134643472731e-05, perdita,1.4757851204194594e-05, JG,1.4749263755220454e-05,jard,1.4181714504957199e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999249959146255,False,False,,,,False,False,False,False,False,1.5783909475430846e-05,7.50040853745304e-05,5.105523086967878e-06,1.199273086967878e-06,,2.885598180785471,19.427169872491312,,42142,,,-0.08946947753429413,,,,,,,,,,,,,-1.1286681294441223
Germany→Berlin,0,pos,orig,1,16,⟨NEXT⟩,17.88616180419922,17.88616180419922, Prevents,1.581561991770286e-05, assuredly,1.566858554724604e-05, perdita,1.4459079466178082e-05, впли,1.4109730727795977e-05, overwhel,1.3912899703427684e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999260340846376,False,False,,,,False,False,False,False,False,1.581561991770286e-05,7.396591536235064e-05,5.364842309063533e-06,1.4585923090635332e-06,,2.885598180785471,19.42923228844046,,33609,,,-0.10212638974189758,,,,,,,,,,,,,-1.081131100654602
Germany→Berlin,0,pos,orig,2,16,⟨NEXT⟩,17.88685417175293,17.88685417175293, Prevents,1.572557994222734e-05, assuredly,1.5644081940990873e-05, perdita,1.424911715730559e-05, впли,1.3862949344911613e-05, 의미,1.3813690202368889e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999267045814122,False,False,,,,False,False,False,False,False,1.572557994222734e-05,7.329542131628841e-05,5.264661922410596e-06,1.358411922410596e-06,,2.885598180785471,19.424097574416297,,36622,,,-0.10231472551822662,,,,,,,,,,,,,-1.0942717492580414
Germany→Berlin,0,pos,orig,3,16,⟨NEXT⟩,17.887310028076172,17.887310028076172, assuredly,1.562018587719649e-05, Prevents,1.5437790352734737e-05, perdita,1.4512195775751024e-05, JG,1.402297039021505e-05,ﻨ,1.3919982848165091e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999264868747559,False,False,,,,False,False,False,False,False,1.562018587719649e-05,7.35131252440624e-05,5.30474380866508e-06,1.39849380866508e-06,,2.885598180785471,19.424192508839575,,35174,,,-0.09921067208051682,,,,,,,,,,,,,-1.0799625217914581
Germany→Berlin,0,pos,orig,4,16,⟨NEXT⟩,17.887332916259766,17.887332916259766, assuredly,1.5845298548811115e-05, Prevents,1.5523795809713192e-05, perdita,1.4534431102219969e-05,ﻨ,1.4052257938601542e-05, JG,1.4022964023752138e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999260212525769,False,False,,,,False,False,False,False,False,1.5845298548811115e-05,7.397875015158206e-05,5.298581982060568e-06,1.3923319820605683e-06,,2.885598180785471,19.42309457159647,,35395,,,-0.09977195411920547,,,,,,,,,,,,,-1.0954335629940033
Germany→Berlin,0,pos,orig,5,16,⟨NEXT⟩,17.882953643798828,17.882953643798828, Prevents,1.5748122677905485e-05, tông,1.4797983567405026e-05,Vivo,1.4756269592908211e-05,还,1.4534943147737067e-05, lunghezza,1.4528739484376274e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999256339415297,False,False,,,,False,False,False,False,False,1.5748122677905485e-05,7.436605665134266e-05,5.63673029319034e-06,1.7304802931903395e-06,,2.885598180785471,19.40166553329896,,27049,,,-0.13262143731117249,,,,,,,,,,,,,-1.0274169743061066
Germany→Berlin,0,pos,orig,6,16,⟨NEXT⟩,17.88654899597168,17.88654899597168, Prevents,1.6196614524233155e-05, assuredly,1.4626619304181077e-05, 의미,1.4143203770800028e-05, впли,1.406618412147509e-05,ttar,1.4015548913448583e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999269518293659,False,False,,,,False,False,False,False,False,1.6196614524233155e-05,7.304816972464323e-05,5.558930752158631e-06,1.6526807521586306e-06,,2.885598180785471,19.416465672301612,,28029,,,-0.10554517805576324,,,,,,,,,,,,,-1.069396436214447
Germany→Berlin,0,pos,orig,7,16,⟨NEXT⟩,17.885095596313477,17.885095596313477, Prevents,1.6216581570915878e-05, впли,1.4559575902239885e-05, 의미,1.4518073840008583e-05, assuredly,1.4210299923433922e-05, ahorro,1.3955665053799748e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999265398037096,False,False,,,,False,False,False,False,False,1.6216581570915878e-05,7.346019992837682e-05,5.472779776027892e-06,1.5665297760278917e-06,,2.885598180785471,19.434551367866344,,30746,,,-0.10585690289735794,,,,,,,,,,,,,-1.0862475633621216
Germany→Berlin,0,pos,orig,8,16,⟨NEXT⟩,17.887365341186523,17.887365341186523, Prevents,1.5928830180200748e-05, assuredly,1.5151559637160972e-05, JG,1.4549383195117116e-05, впли,1.447211343474919e-05, 의미,1.438241724827094e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999255156963045,False,False,,,,False,False,False,False,False,1.5928830180200748e-05,7.448430551448837e-05,5.506491561391158e-06,1.600241561391158e-06,,2.885598180785471,19.437846555456876,,29240,,,-0.09916861355304718,,,,,,,,,,,,,-1.062203049659729
Germany→Berlin,0,pos,orig,9,16,⟨NEXT⟩,17.886262893676758,17.886262893676758, Prevents,1.5831872588023543e-05, assuredly,1.4699954590469133e-05, впли,1.4362177353177685e-05, 의미,1.4100239241088275e-05,naval,1.3686860256711952e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999273188959705,False,False,,,,False,False,False,False,False,1.5831872588023543e-05,7.268110493896529e-05,5.405594492913224e-06,1.4993444929132237e-06,,2.885598180785471,19.42630445579217,,32417,,,-0.10932551324367523,,,,,,,,,,,,,-1.0745908319950104
