layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
1,41.5616796279753,41.02504422627989,41.21193295745828,41.39108934865388,0.5366354016954133,0.34974667051702113,0.17059027932142357,0.016298451856968654,236789,41909,41909,236789,194880,194880,0,8.75822925567627,8.970102310180664
2,41.54020518625797,41.04777895686275,41.235454680651486,41.37303254617449,0.49242622939522107,0.304750505606485,0.16717264008347854,0.020503083705257552,217224,25990,25990,217224,191234,191234,0,8.764485359191895,8.977886199951172
3,17.707040674397707,17.265612116497532,16.889066421392464,22.337097063033138,0.4414285579001742,0.817974253005243,-4.630056388635431,4.253510693530362,125729,9399,9399,125729,116330,116330,0,0.8856656551361084,1.4716265201568604
4,17.19387746489205,16.425527773897368,16.835048734548266,18.479782114364824,0.7683496909946825,0.3588287303437845,-1.2859046494727728,1.6954256101236709,53684,7854,7854,53684,45830,45830,0,0.6182733178138733,2.31272554397583
5,41.91186382235612,41.69535555111553,41.82624122772817,41.806260971281525,0.2165082712405848,0.08562259462794941,0.10560285107459322,0.025282825538042175,123841,43305,43305,123841,80536,80536,0,8.520256042480469,8.634662628173828
6,41.852478900943794,41.62393459586522,41.76520252114514,41.73959224063986,0.2285443050785716,0.08727637979865221,0.11288666030393557,0.02838126497598381,106335,27209,27209,106335,79126,79126,0,8.553086280822754,8.675987243652344
7,41.863015246066254,41.63508182336355,41.77194424105897,41.75580263737959,0.227933422702705,0.09107100500728649,0.10721260868666604,0.02964980900875247,188781,68429,68429,188781,120352,120352,0,8.546971321105957,8.662252426147461
8,41.84421547853514,41.628224531108344,41.76399176328307,41.74101763285021,0.21599094742679625,0.0802237152520675,0.10319784568493162,0.032569386489797125,214648,95412,95412,214648,119236,119236,0,8.528741836547852,8.6394681930542
9,41.959476875282185,41.700426975524174,41.84130140449892,41.83548701503855,0.2590498997580113,0.11817547078326385,0.12398986024363268,0.01688456873111477,133788,38621,38621,133787,95167,95167,1,8.523798942565918,8.67143440246582
10,42.005408625813416,41.79568335032286,42.03777988828942,41.83898720594891,0.20972527549055542,-0.03237126247600486,0.16642141986450554,0.07567511810205474,228550,156582,156582,228552,71968,71968,-2,8.345237731933594,8.477232933044434
11,41.851920301293795,41.63908557947563,41.80680856404187,41.73369254778466,0.21283472181816165,0.04511173725192208,0.11822775350913162,0.04949523105710796,217509,102499,102499,217509,115010,115010,0,8.492761611938477,8.605679512023926
12,42.00601950818928,41.797543514674594,42.048500598813604,41.836953683085106,0.20847599351468915,-0.04248109062432093,0.16906582510417678,0.0818912590348333,240631,185564,185564,240643,55067,55067,-12,8.324417114257812,8.465195655822754
13,42.0877071397655,41.8466204839248,42.16376749900548,41.86908004226628,0.24108665584069655,-0.07606035923998178,0.2186270974992155,0.09851991758146283,206670,169989,169939,232292,36681,36731,-25622,8.222489356994629,8.399823188781738
