pos_frac,pos_index,layer,kl_bits_baseline,kl_bits_tuned,delta_kl_bits_tuned,answer_rank_baseline,answer_rank_tuned,rank_shift_tuned,entropy_bits_baseline,entropy_bits_tuned
0.2,3,1,23.927932455930495,23.927932455930495,0.0,,,,1.6930042445883358e-15,5.946917958077336e-11
0.4,6,1,25.344315527098658,25.344315527098658,0.0,,,,9.004567975452868e-16,7.235745336231503e-11
0.6,10,1,23.470133901390597,23.470133901390597,0.0,,,,1.8474883844987744e-08,1.2668037925323006e-06
0.8,13,1,13.520171194284872,13.52016844256246,2.751722412597246e-06,,,,3.1447211767954286e-07,5.295783921610564e-06
0.92,15,1,15.291138463973525,15.291138463973525,0.0,,,,1.6525780743847918e-11,8.181176625043918e-09
0.98,16,1,13.745153394698772,13.745153394698772,0.0,17,88,-71,8.082843550027974e-08,8.940839961724123e-07
0.2,3,2,23.927932455930495,23.927932455930495,0.0,,,,2.753872433911009e-13,1.8963144388095543e-09
0.4,6,2,25.34419445131245,25.34417243753314,2.201377931143611e-05,,,,0.00041200057603418827,0.00019952496222686023
0.6,10,2,23.470131149668184,23.47013665311301,-5.503444825194492e-06,,,,2.14001011045184e-05,0.00019016701844520867
0.8,13,2,13.520161563256424,13.520129918448665,3.1644807759079185e-05,,,,1.2419931408658158e-05,6.800046685384586e-05
0.92,15,2,15.291138463973525,15.291138463973525,0.0,,,,1.528915127835262e-08,6.905910936438886e-07
0.98,16,2,13.745152018837564,13.745156146421184,-4.127583620672226e-06,21,100,-79,3.6449968320084736e-05,7.32297557988204e-05
0.2,3,3,23.927932455930495,23.927929704208083,2.751722412597246e-06,,,,3.4236591339720235e-09,2.2370131773641333e-06
0.4,6,3,25.698462201755355,25.101753948044166,0.5967082537111885,,,,1.514274001121521,0.20154517889022827
0.6,10,3,23.47283334107854,23.4767325317389,-0.003899190660359153,,,,0.005804183892905712,0.011015119031071663
0.8,13,3,13.519905653071941,13.519627729108146,0.0002779239637948905,,,,0.0005041295080445707,0.0011062354315072298
0.92,15,3,15.291080677802833,15.29098436751835,9.631028448353618e-05,,,,0.00015992720727808774,0.0006292824982665479
0.98,16,3,13.745257960150497,13.745277222207392,-1.926205689528615e-05,2532,40672,-38140,0.0004640856641344726,0.000526025949511677
0.2,3,4,23.927932455930495,23.927929704208083,2.751722412597246e-06,,,,1.4032086426141177e-07,2.4600481992820278e-05
0.4,6,4,48.737032470099265,21.711944254730447,27.025088215368818,,,,8.325051307678223,6.300408363342285
0.6,10,4,23.489129041213094,23.49275581135449,-0.003626770141394786,,,,0.02373773790895939,0.027412762865424156
0.8,13,4,13.519466753346938,13.519179198354696,0.00028755499224253356,,,,0.0014864025870338082,0.0021978113800287247
0.92,15,4,15.291094436414904,15.291018764048523,7.567236638017505e-05,,,,0.00014203232422005385,0.0005881269462406635
0.98,16,4,13.746218311272914,13.745661087484118,0.0005572237887960796,41736,40119,1617,0.002357069868594408,0.0014293990097939968
0.2,3,5,23.927932455930495,23.92790769042877,2.4765501724033356e-05,,,,2.785021990803216e-07,9.730557940201834e-05
0.4,6,5,26.930777057219274,25.192948780560076,1.7378282766591973,,,,1.5637166500091553,0.17630337178707123
0.6,10,5,26.6480540895353,24.367321987522043,2.280732102013257,,,,0.7493826746940613,0.3609016239643097
0.8,13,5,13.517683637222794,13.51779645784176,-0.00011282061896622508,,,,0.006714425515383482,0.006324811838567257
0.92,15,5,15.291046281272662,15.2910737984968,-2.751722413840696e-05,,,,0.0006843780283816159,0.0019996685441583395
0.98,16,5,13.746419187009122,13.745800049466016,0.000619137543106163,5427,10394,-4967,0.0027033030055463314,0.0018745808629319072
0.2,3,6,23.927995745546013,23.930194371754645,-0.002198626208631538,,,,0.00024766474962234497,0.007318688556551933
0.4,6,6,42.19070686143663,19.840118103408606,22.350588758028024,,,,6.2808661460876465,5.459736347198486
0.6,10,6,31.060072249268067,25.724867730038227,5.3352045192298405,,,,0.9974015951156616,0.6495548486709595
0.8,13,6,13.521474134847809,13.51348313295812,0.007991001889688931,,,,0.10366407781839371,0.050057295709848404
