fact_key,fact_index,prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
Germany→Berlin,0,pos,orig,1,0,<bos>,0.018519101664423943,0.018519101664423943,<bos>,0.9990952014923096,.,0.00011784550588345155, the,0.00010943181405309588, ,3.6691824789159e-05,"

",2.67978357442189e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006140315272205044
Germany→Berlin,0,pos,orig,1,1,Give,0.0936630517244339,0.0936630517244339,Give,0.988018274307251, Give,0.011981581337749958,give,8.97921168530047e-08, give,1.0113241355469427e-09, GIVE,4.36353596755968e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.355151444508266e-08
Germany→Berlin,0,pos,orig,1,2, the,1.6085034346136062e-11,1.6085034346136062e-11, the,1.0, The,3.491731372356338e-13, a,3.4591555016444744e-14,the,1.3662906137007881e-15,The,1.9442836622922573e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,3, city,5.946917958077336e-11,5.946917958077336e-11, city,1.0,city,1.2633779656115451e-12, City,2.2635916036538306e-13,City,3.277621517971301e-16, CITY,1.4605738510596643e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,4, name,6.35336158683053e-11,6.35336158683053e-11, name,1.0, Name,1.5478640504745789e-12,name,4.880592322431196e-14, names,1.4051789551004171e-14, NAME,2.4123165811196227e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,5, only,1.5592199753555747e-10,1.5592199753555747e-10, only,1.0,only,4.122121914640342e-12, Only,3.8275449534819466e-16,Only,8.944535574107403e-17, ONLY,4.1195901563567977e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,6,",",7.235745336231503e-11,7.235745336231503e-11,",",1.0,.,9.907670387235279e-13, and,6.593690437400879e-13, (,8.483936209807696e-14,"

",1.2221033714632408e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,7, plain,2.755062400439101e-09,2.755062400439101e-09, plain,1.0, Plain,7.357877501723564e-11,plain,7.456571818331703e-12,Plain,5.987999131913321e-14,PLAIN,2.0143391566312243e-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,8, text,3.389720504287652e-09,3.389720504287652e-09, text,1.0, Text,1.0203250744300618e-10,text,6.43055961670018e-14,Text,4.6363699385515e-15, texts,4.114433742167557e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,9,.,4.55870861060248e-08,4.55870861060248e-08,.,1.0,",",7.241929278478665e-10,"

",4.348471860371461e-10,"
",1.983567754493265e-10, .,4.047703144882675e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,10, The,1.2668037925323006e-06,1.2668037925323006e-06, The,1.0,The,5.237565758875462e-08, the,4.5058127693363426e-13, This,3.295032941946603e-17, A,2.481752768715284e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,11, capital,1.2032794205474318e-10,1.2032794205474318e-10, capital,1.0,capital,2.2489180656615204e-12, Capital,8.236338043879354e-13,Capital,5.139281774940111e-15, CAPITAL,2.4951087577578103e-17,CAPITAL,6.140246530549203e-23, capitale,3.085081172442859e-25, capitals,4.720200995386829e-26, capitol,3.354508462159641e-28, capitalize,1.81953209507284e-30,资本,2.3766765445942243e-31, capitalized,2.277759165170269e-31, kapital,1.22352424184452e-32, capitales,1.1224777923586761e-32, Kapital,3.522840627100496e-34,資本,2.724401012572583e-34, Hauptstadt,1.0432582388113622e-34,kapital,4.760885569285619e-35, capitalization,1.9801404664678906e-35, Capitol,1.444122073648102e-35,0.0
Germany→Berlin,0,pos,orig,1,12, of,4.5656712324660884e-14,4.5656712324660884e-14, of,1.0,of,7.968772677111762e-16, Of,5.105218450845398e-17, OF,3.95279505364795e-17, in,4.063050371085449e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
