fact_key,fact_index,prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
Germany→Berlin,0,pos,orig,0,0,<bos>,8.076832263949095e-32,8.076832263949095e-32,<bos>,1.0, 剪影,3.0471832665249886e-34, 收納,1.570783024878831e-34, стоковая,4.09169666698009e-35, Савезне,2.275253402892707e-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,0,1,Give,0.0006519429734908044,0.0006519429734908044,Give,0.9999669790267944, Give,1.750585943227634e-05,<unused43>,1.1843378615594702e-06,<unused41>,8.239422299993748e-07,<pad>,7.409871045638283e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2765846577167395e-05
Germany→Berlin,0,pos,orig,0,2, the,5.653619220556262e-20,5.653619220556262e-20, the,1.0, a,8.066373114294283e-22, The,1.5868284700357015e-25, an,1.5043509669830653e-26, ,2.7730945268146824e-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,0,3, city,6.153619280802047e-11,6.153619280802047e-11, city,1.0, City,1.5659065840875619e-12,city,2.6287561638918804e-15,City,9.288001643954734e-19, CITY,1.0859886241146776e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,0,4, name,1.3512096823375952e-11,1.3512096823375952e-11, name,1.0, Name,3.2230842344008193e-13, names,1.713934534594108e-15,name,1.071865772883456e-15,Name,1.3367777658724794e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,0,5, only,3.1150768271294427e-13,3.1150768271294427e-13, only,1.0,only,6.6128785458055735e-15, Only,2.675980204915505e-19,Only,5.7783202521903255e-21, ONLY,1.94195855510721e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,0,6,",",6.102166806522171e-15,6.102166806522171e-15,",",1.0,.,6.800284903022943e-17, (,3.6400132486232736e-17,-,5.014958653073204e-18, and,1.897431970417519e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,0,7, plain,1.977833221644687e-07,1.977833221644687e-07, plain,1.0, Plain,7.09850267455181e-09,plain,1.719249603793216e-10,Plain,1.2962522765239126e-12, plains,3.0506778439609034e-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,0,8, text,7.267692003765092e-10,7.267692003765092e-10, text,1.0, Text,2.0457201904688915e-11, texts,7.505216744309665e-15,text,1.9557839874358065e-16,Text,3.8852363178886e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,0,9,.,8.373189193053038e-15,8.373189193053038e-15,.,1.0,",",1.5603757727676983e-16, ,1.2297235081585896e-18,-,1.1464820483706939e-18, (,3.31574598909451e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,0,10, The,2.1071599326516477e-12,2.1071599326516477e-12, The,1.0,The,4.756615836886552e-14, the,3.628977004890591e-17, A,6.148884306540496e-19, ,3.523954522480982e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,0,11, capital,6.628884663406609e-10,6.628884663406609e-10, capital,1.0, Capital,1.024103111341157e-11,capital,7.827726314357797e-12,Capital,4.605908516185867e-15, CAPITAL,1.7252416700512342e-17, capitals,4.7364285134397505e-21, capitol,2.976863182426287e-22,CAPITAL,1.299507687452216e-23, capitalized,1.9737403386623526e-25, capitalize,5.169591941931907e-26, capitalization,1.291558280027224e-27, Capitol,4.552076558112969e-29, Capitals,9.714880397455544e-30, capitale,6.439540866685931e-30, capita,8.024872357357438e-31, capi,4.829211148580628e-32, capitalist,2.4607493111582553e-32,kapital,1.1024395809705901e-32, kapital,8.479891350557207e-33,capitalize,6.83586111454448e-33,0.0
Germany→Berlin,0,pos,orig,0,12, of,3.5708119141471283e-16,3.5708119141471283e-16, of,1.0, in,3.752178526095158e-18, and,1.366382327351205e-18, for,2.9444879431351046e-19, to,2.165934306113743e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,0,13, Germany,4.0220311348093674e-05,4.0220311348093674e-05, Germany,0.9999979734420776,Germany,1.967013076864532e-06, germany,3.396742609407255e-10, GERMANY,2.255425663941213e-12,germany,2.775043751377087e-14, German,7.193657697518799e-15, Germans,5.379257220325569e-15, Italy,2.154101981898383e-15, France,3.0012444611006754e-16, Sweden,4.0531370250343075e-17, Switzerland,2.509230219739193e-17, Deutschland,2.1214964213582293e-17, Austria,1.3302346379802142e-17, Spain,1.1958584857264848e-17, Denmark,9.731981738755834e-18, Belgium,9.001230533291788e-18, Alemania,4.473099103569317e-18, Japan,3.470680691837237e-18, Poland,3.0042883451341664e-18,GERMANY,2.9016548766558838e-18,5.920287304839178e-08
Germany→Berlin,0,pos,orig,0,14, is,1.0782631190849503e-18,1.0782631190849503e-18, is,1.0, has,1.6184386451839527e-20, was,1.5879388844509565e-22, are,1.473406157551399e-23,is,1.0227225859922163e-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,0,15, called,1.994665987936628e-09,1.994665987936628e-09, called,1.0,called,5.083527002125443e-11, Called,6.902096949534808e-12,Called,7.84526235614964e-15, CALLED,1.2936372096829978e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,0,16, simply,1.6721300198696554e-05,1.6721300198696554e-05, simply,0.9999992847442627,simply,7.727312549832277e-07, Simply,3.093549288263331e-12,Simply,3.085040686454099e-12, simplemente,1.8352142736989752e-16, simplesmente,1.994469934283156e-17, semplicemente,4.926159883737447e-19, simplement,1.2184684493044926e-19, просто,2.3646953059938653e-21, einfach,1.2433190026622778e-22, Simplemente,9.17335738878392e-24, merely,3.380977375964924e-24, Просто,2.8542193183041394e-27,Просто,1.0616606003447029e-27, פשוט,1.3299600712638416e-28, jednod,3.3997869547815635e-29, gewoon,7.8941865378059e-31,Einfach,6.295954795970277e-31, Einfach,4.657636345782912e-31, simpel,6.372280819663519e-32,0.0
Germany→Berlin,0,pos,orig,1,0,<bos>,9.000851605378557e-06,9.000851605378557e-06,<bos>,0.9999998807907104,ⓧ,1.1042258080129486e-10, Савезне,6.084324016830678e-11, ویکی‌پدی,5.619025036929237e-11,The,3.608392057374843e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1894574958315474e-07
Germany→Berlin,0,pos,orig,1,1,Give,0.003184074303135276,0.003184074303135276,Give,0.9997640252113342, Give,0.00023601135762874037,give,3.9711570837264176e-11, give,3.1321520796098474e-15,GIVE,3.204270218361977e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,2, the,4.459971515637529e-15,4.459971515637529e-15, the,1.0, The,8.242639075387167e-17, a,6.622659757198485e-19,the,2.2391257024048785e-19,The,2.8731960249490295e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,3, city,1.6930042445883358e-15,1.6930042445883358e-15, city,1.0,city,3.0553924319173356e-17, City,2.70098354838751e-19, CITY,8.863437163187635e-22,City,7.132466310805329e-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,4, name,1.2861521912863483e-15,1.2861521912863483e-15, name,1.0, Name,2.304484323850475e-17, names,1.552216310177062e-19,name,4.3527148561335296e-20, NAME,5.388858411592362e-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,5, only,2.5444469935968078e-14,2.5444469935968078e-14, only,1.0,only,5.006056833105929e-16, Only,7.8868531109439685e-22,Only,5.80431939106508e-22, ONLY,1.787899469719376e-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,6,",",9.004567975452868e-16,9.004567975452868e-16,",",1.0, and,1.4193888261456696e-17,.,1.009915976804261e-18," ,",4.719587552376697e-19, (,1.9330175647128858e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,7, plain,3.732327489604226e-13,3.732327489604226e-13, plain,1.0, Plain,7.455109663281889e-15,plain,4.559110369366541e-16,Plain,2.1312577316127838e-18,PLAIN,6.347601783698556e-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,8, text,5.882837619819448e-13,5.882837619819448e-13, text,1.0, Text,1.2744809243061313e-14, texts,2.883419783449729e-19,text,3.821409640107331e-20,Text,4.537290031625794e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,9,.,5.251336518408145e-11,5.251336518408145e-11,.,1.0,",",5.490143387652802e-13,"

",3.6868218981217504e-13, .,1.8163508891388958e-13,"
",1.2221017112786642e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,10, The,1.8474883844987744e-08,1.8474883844987744e-08, The,1.0,The,6.032305766012769e-10, the,3.908153744500294e-20, This,9.101737653831991e-23, THE,4.485159868954706e-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,11, capital,2.154488101867389e-14,2.154488101867389e-14, capital,1.0,capital,4.1778695748346487e-16, Capital,3.3529391830609797e-18,Capital,9.980810384913702e-20, CAPITAL,1.6009673325083522e-22,CAPITAL,3.497460190984608e-30, capitale,3.0492661414956e-33, capitals,2.1358796639288275e-34, capitol,6.816080523175315e-38, capitalize,2.886955096201988e-41, capitales,3.077251427657298e-42,资本,1.8903516283741782e-42, capitalized,1.5974802493302915e-42, kapital,1.0509738482436128e-43,資本,1.401298464324817e-45, Hauptstadt,0.0, Kapital,0.0,kapital,0.0, capitalization,0.0, Capitals,0.0,0.0
Germany→Berlin,0,pos,orig,1,12, of,1.2802651741637687e-18,1.2802651741637687e-18, of,1.0,of,1.563739388474323e-20, Of,2.015000663069238e-21, OF,1.622783766780557e-21, của,6.5554822429018266e-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,13, Germany,3.7712470657425e-07,3.7712470657425e-07, Germany,1.0,Germany,1.4481856602799326e-08, germany,2.2019280031992028e-15, Alemania,1.4066517336374556e-17, GERMANY,6.091870882820279e-19, German,3.960363866112735e-21,germany,2.778618524194157e-22, Allemagne,1.2650829019536384e-23, Tyskland,2.262707089385343e-24, Germans,1.8704765726242722e-24, Deutschland,1.229193941311164e-25, Alemanha,2.3739188139327997e-26, Duitsland,2.0614109500319137e-26,German,1.1234836063757143e-26,GERMANY,6.290786696124514e-27,德国,1.5567879149115066e-27,Allemagne,1.3521834972627474e-28, France,6.590267454325768e-29, Italy,5.275145589947836e-29, Германии,4.9040513897322274e-29,0.0
Germany→Berlin,0,pos,orig,1,14, is,5.644059963141152e-23,5.644059963141152e-23, is,1.0, has,4.618165288562952e-25, was,2.250344800835818e-25, are,7.822263847113889e-27, Is,2.713031031121564e-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,15, called,1.7363896778754828e-11,1.7363896778754828e-11, called,1.0,called,3.963009662186906e-13, Called,2.2852025651008516e-14, CALLED,1.59932939526127e-17,Called,8.464539208255132e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,1,16, simply,6.94161528258519e-08,6.94161528258519e-08, simply,1.0,simply,2.4255215613777636e-09,Simply,1.3801348378280676e-16, Simply,2.0945620971245226e-17, simplemente,7.031299355197127e-21, simplesmente,8.354099306302027e-24, simplement,3.7641912495571736e-26, semplicemente,3.017812969272642e-26, просто,8.014321872380841e-30, einfach,1.967531424146806e-32, Simplemente,1.9661123820601726e-33, merely,1.173037213201451e-36, Просто,1.1485798914776936e-39,Просто,7.666503898321074e-42, פשוט,1.9506074623401454e-42, jednod,6.7682715826888665e-43, gewoon,0.0, Einfach,0.0,Einfach,0.0, simpel,0.0,0.0
Germany→Berlin,0,pos,orig,2,0,<bos>,5.648643445349544e-12,5.648643445349544e-12,<bos>,1.0,',1.3791828786744722e-15,The,9.982734328436342e-16,’,8.76621872744702e-16,"

",6.091136743483026e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,2,1,Give,0.0014508588938042521,0.0014508588938042521,Give,0.9999016523361206, Give,9.833167132455856e-05,give,1.3298222245605729e-10, give,4.637061223315578e-16,GIVE,1.532818304427234e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5859572211063266e-08
Germany→Berlin,0,pos,orig,2,2, the,0.00010661784472176805,0.00010661784472176805, the,0.9999946355819702, The,4.824121333513176e-06,The,3.629190814535832e-07,the,2.6083105808538676e-07, THE,6.563829924033371e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,2,3, city,2.753872433911009e-13,2.753872433911009e-13, city,1.0,city,5.8078618208668754e-15, City,1.0118445484024283e-17,City,2.4969451814357392e-18, CITY,1.7454566872619596e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,2,4, name,8.92519218254062e-12,8.92519218254062e-12, name,1.0, Name,2.1186583032666712e-13, names,7.962357196629699e-17, NAME,1.4728880557515167e-17,name,2.639936792000484e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,2,5, only,2.4385213293065533e-10,2.4385213293065533e-10, only,1.0,only,6.564105162198963e-12,Only,8.793510923100941e-17, Only,9.452101869776066e-18, ONLY,7.466919353247519e-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,2,6,",",0.00041200057603418827,0.00041200057603418827,",",0.9999805688858032,，,6.921983185748104e-06,",<",2.661616917976062e-06,",",1.7929935438587563e-06,،,1.1386659934942145e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.915854555700207e-06
Germany→Berlin,0,pos,orig,2,7, plain,4.98466979498291e-12,4.98466979498291e-12, plain,1.0, Plain,1.1441257555082351e-13,plain,1.2918716753835646e-15,Plain,3.821809349288953e-17,PLAIN,2.265860380456228e-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,2,8, text,1.127085404173389e-12,1.127085404173389e-12, text,1.0, Text,2.4941513630349736e-14, texts,1.528209719343183e-19,text,1.0593112738780181e-19,Text,1.4272812445907827e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,2,9,.,0.027465911582112312,0.027465911582112312,.,0.9981997013092041,。,0.000549609656445682,।,0.00021664705127477646,?.,0.00012462986342143267,].,0.00010850337275769562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008009087468963116
Germany→Berlin,0,pos,orig,2,10, The,2.14001011045184e-05,2.14001011045184e-05, The,0.9999990463256836,The,1.0050134733319283e-06, THE,4.885255905844277e-17,THE,1.9066885350622937e-18, This,4.872762273269852e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,2,11, capital,1.4559382345569194e-13,1.4559382345569194e-13, capital,1.0,capital,2.994447604034111e-15, Capital,1.3685426129184638e-17,Capital,6.210058448741855e-18, CAPITAL,2.7416317772217984e-21,CAPITAL,1.871728979444832e-28, capitale,3.3773604033588355e-30, capitals,4.983435566598131e-33, capitol,1.5496411304801154e-36, capitalize,1.3104592913749608e-39, capitales,2.910721118156937e-40, capitalized,2.8550054912153823e-41,资本,1.996149662430702e-41, kapital,4.8765186558503634e-43, Hauptstadt,3.923635700109488e-44,資本,8.407790785948902e-45, Capitals,0.0, Kapital,0.0, capitalization,0.0,kapital,0.0,0.0
Germany→Berlin,0,pos,orig,2,12, of,2.6886907414022665e-13,2.6886907414022665e-13, of,1.0, Of,3.20085449844517e-15,of,1.7108839454345716e-15, OF,5.830212479246075e-16,Of,8.091012567767012e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,2,13, Germany,2.0289997337386012e-05,2.0289997337386012e-05, Germany,0.9999990463256836,Germany,9.450884022044193e-07, germany,9.671507301620141e-13, GERMANY,3.7491880531138194e-16, Alemania,2.0025593967144551e-16,germany,1.8333287299683213e-19, German,1.7045533814530367e-19, Germans,3.235608650571016e-21, Allemagne,1.825789358347877e-21,GERMANY,2.9213102090854303e-22, Tyskland,1.1338264974127945e-22,German,1.7309832848301722e-23, Alemanha,8.903338978396726e-24,德国,7.221484373021908e-24, Duitsland,3.248329231460653e-24, Deutschland,3.2230996847746484e-24, Германии,3.4792485892452803e-25,Allemagne,3.362261256558103e-25, Германия,3.406216647826776e-26, german,1.341538088014017e-26,8.584946531442483e-09
Germany→Berlin,0,pos,orig,2,14, is,2.6542783253838366e-15,2.6542783253838366e-15, is,1.0, are,3.5703173263152706e-17, was,8.938834645325688e-18, Is,2.176520434346226e-18, has,1.0265987621933836e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,2,15, called,1.7926002016110942e-08,1.7926002016110942e-08, called,1.0, Called,5.007371184362341e-10,called,7.203297680558052e-11, CALLED,3.8583212688160506e-13,Called,3.0620726223715145e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Germany→Berlin,0,pos,orig,2,16, simply,3.137542444164865e-05,3.137542444164865e-05, simply,0.9999984502792358,simply,1.5066898413351737e-06,Simply,5.4036341509211896e-14, Simply,4.934365870274456e-15, simplemente,1.2947876222868442e-19, simplesmente,5.321663744556615e-22, semplicemente,1.3327200726255595e-23, simplement,2.403660558715007e-24, просто,3.795155888979845e-26, einfach,1.033285771406701e-30, Simplemente,2.5482418258876985e-31, Просто,8.705171054678082e-35, merely,7.387049290660222e-36,Просто,5.518624104458578e-37, פשוט,9.307074075429354e-40, jednod,5.811605121094314e-41,Einfach,2.45227231256843e-43, gewoon,6.025583396596713e-44, Einfach,3.5032461608120427e-44, simpel,1.401298464324817e-45,4.3030863872139946e-08
Germany→Berlin,0,pos,orig,3,0,<bos>,2.074769145110622e-05,2.074769145110622e-05,<bos>,0.9999995231628418,ⓧ,1.1282133449697085e-08,<h1>,7.129816737005967e-09,The,6.710092925743538e-09,<h2>,2.3498325507631534e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4936528253991526e-07
